@56667  = ~我不干。~
@60114  = ~这应该会……很有趣……~ [LEHTIN03]
@60115  = ~啊啊啊！~ [LEHTIN18]
@60116  = ~去你的！~ [LEHTIN05]
@60117  = ~~
@60118  = ~~
@60119  = ~~
@60120  = ~~
@60121  = ~~
@60122  = ~~
@60123  = ~~
@60124  = ~~
@60125  = ~~
@60126  = ~~
@60127  = ~~
@60128  = ~你需要……需要什么吗？~ [MINIST01]
@60129  = ~你……你逃不掉的！~ [MINIST03]
@60130  = ~啊啊啊！~ [MINIST04]
@60131  = ~呜呃……~ [MINIST05]
@60132  = ~~
@60133  = ~~
@60134  = ~~
@60135  = ~~
@60136  = ~~
@60137  = ~~
@60138  = ~~
@60139  = ~~
@60140  = ~~
@60141  = ~~
@60142  = ~~
@60143  = ~~
@60144  = ~干什么？~ [COR01]
@60145  = ~~
@60146  = ~好极了！你自寻死路！~ [COR03]
@60147  = ~~ [COR20]
@60148  = ~~ [COR21]
@60149  = ~~
@60150  = ~~
@60151  = ~~
@60152  = ~~
@60153  = ~~
@60154  = ~~
@60155  = ~~
@60156  = ~~
@60157  = ~~
@60158  = ~~
@60159  = ~~
@60160  = ~现在又要干嘛？~ [TANNER01]
@60161  = ~你不能明白！我的工作一定要继续下去！~ [TANNER03]
@60162  = ~~ [TANNER04]
@60163  = ~不！不！这不可能！~ [TANNER05]
@60164  = ~~
@60165  = ~~
@60166  = ~~
@60167  = ~~
@60168  = ~~
@60169  = ~~
@60170  = ~~
@60171  = ~~
@60172  = ~~
@60173  = ~~
@60174  = ~~
@60175  = ~~
@60176  = ~你好。~ [KAYLXX01]
@60177  = ~以骑士团之名起誓，我一定要打倒你！~ [KAYLXX03]
@60178  = ~嗯啊！~ [KAYLXX04]
@60179  = ~托姆……您的仆人回到您的身边……~ [KAYLXX05]
@60180  = ~~
@60181  = ~~
@60182  = ~~
@60183  = ~~
@60184  = ~~
@60185  = ~~
@60186  = ~~
@60187  = ~~
@60188  = ~~
@60189  = ~~
@60190  = ~~
@60191  = ~~
@60192  = ~啊，又是你。~ [INSPEC01]
@60193  = ~投降吧，否则我就得杀了你！~ [INSPEC03]
@60194  = ~啊啊啊！~ [INSPEC04]
@60195  = ~不……不不不……！~ [INSPEC05]
@60196  = ~~
@60197  = ~~
@60198  = ~~
@60199  = ~~
@60200  = ~~
@60201  = ~~
@60202  = ~~
@60203  = ~~
@60204  = ~~
@60205  = ~~
@60206  = ~~
@60207  = ~~
@60208  = ~你好，又见面了。~ [CELOGA01]
@60209  = ~你无法对抗正义的力量！~ [CELOGA03]
@60210  = ~呃……啊！~ [CELOGA04]
@60211  = ~神……神将会……为我报仇……~ [CELOGA05]
@60212  = ~~
@60213  = ~~
@60214  = ~~
@60215  = ~~
@60216  = ~~
@60217  = ~~
@60218  = ~~
@60219  = ~~
@60220  = ~~
@60221  = ~~
@60222  = ~~
@60223  = ~~
@60224  = ~我只对我的女主人效忠。~ [VALENX01]
@60225  = ~你真是愚蠢，竟敢和我女主人作对！~ [VALENX03]
@60226  = ~~ [VALENX04]
@60227  = ~~ [VALENX05]
@60228  = ~~
@60229  = ~~
@60230  = ~~
@60231  = ~~
@60232  = ~~
@60233  = ~~
@60234  = ~~
@60235  = ~~
@60236  = ~~
@60237  = ~~
@60238  = ~~
@60239  = ~~
@60240  = ~利博德·巴特门在此为您服务。~ [RIBALD01]
@60241  = ~冒险者集市是全费伦最棒的商店……多样的选择，低廉的价格，实实在在的商品。只有好货色，就是这么简单。~ [RIBALD02]
@60242  = ~今天我们要怎样帮你美梦成真？~ [RIBALD03]
@60243  = ~管你是小贩、艺术家，还是地狱来的恶魔，我全都不在意。我只在意有没有生意可坐，利博德在此想和你做笔生意。~ [RIBALD04]
@60244  = ~~ [RIBALD06]
@60245  = ~~ [RIBALD05]
@60246  = ~当拇指不能温暖地招待客人的时候，夜晚真是可怕寒冷啊。来吧，进来吧，享受海之恩赐的款待。~ [THUMB01]
@60247  = ~酒馆最适合喝酒、唱歌，还有找乐子……你想什么都可以，要去别的地方也可以。~ [THUMB02]
@60248  = ~我们没有什么花俏的东西，只有酒，就这么简单。其他的东西我都要再到地窖去找。~ [THUMB03]
@60249  = ~欢迎还到海之恩赐，不要不要太在意这里的鱼腥味。~ [THUMB04]
@60250  = ~~ [THUMB06]
@60251  = ~~ [THUMB05]
@60252  = ~嗯？你有什么是要报告吗？~ [ARAN01]
@60253  = ~你要杀死我？真是愚蠢的尝试。~ [ARAN03]
@60254  = ~你赢不了的！~ [ARAN04]
@60255  = ~~ [ARAN05]
@60256  = ~~ [ARAN06]
@60257  = ~~
@60258  = ~~
@60259  = ~~
@60260  = ~~
@60261  = ~~
@60262  = ~~
@60263  = ~~
@60264  = ~~
@60265  = ~~
@60266  = ~~
@60267  = ~~
@60268  = ~~
@60269  = ~我看见……我看见……~ [PPAPHR01]
@60270  = ~我不要再看了！~ [PPAPHR03]
@60271  = ~~ [PPAPHR04]
@60272  = ~~ [PPAPHR05]
@60273  = ~来到我面前。~ [ARDULA01]
@60274  = ~你会受到罗丝的报应！~ [ARDULA03]
@60275  = ~你会死得痛苦万分！~ [ARDULA04]
@60276  = ~~ [ARDULA05]
@60277  = ~~ [ARDULA06]
@60278  = ~~
@60279  = ~~
@60280  = ~~
@60281  = ~~
@60282  = ~我应该没有见过你这种人。~
@60283  = ~~
@60284  = ~~
@60285  = ~~
@60286  = ~~
@60287  = ~~
@60288  = ~~
@60289  = ~~
@60290  = ~是谁？~ [RIFTG01]
@60291  = ~别傻了，你会被摧毁。~ [RIFTG03]
@60292  = ~如你所愿，我们开战吧。~ [RIFTG04]
@60293  = ~~ [RIFTG05]
@60294  = ~~ [RIFTG06]
@60295  = ~你的生死全看我的意思。~ [BODHIX01]
@60296  = ~很快就可以解决掉。~ [BODHIX04]
@60297  = ~准备接受永恒的沉眠吧。~ [BODHIX05]
@60298  = ~~ [BODHIX06]
@60299  = ~~ [BODHIX07]
@60300  = ~这些日子我们用得上所有的帮助。~ [BUSYA01]
@60301  = ~我不会让你这么做！~ [BUSYA03]
@60302  = ~别在我的镇上撒野！~ [BUSYA04]
@60303  = ~~ [BUSYA05]
@60304  = ~~ [BUSYA06]
@60305  = ~~
@60306  = ~~
@60307  = ~~
@60308  = ~~
@60309  = ~嗯，看看是谁呀？~
@60310  = ~~
@60311  = ~~
@60312  = ~~
@60313  = ~~
@60314  = ~~
@60315  = ~~
@60316  = ~~
@60317  = ~对我们而言这都是黑暗的时刻，但还是有希望。~ [DEMIN01]
@60318  = ~为了我们全体的心！~ [DEMIN03]
@60319  = ~流放者不会成功的！~ [DEMIN04]
@60320  = ~~ [DEMIN05]
@60321  = ~~ [DEMIN06]
@60322  = ~~
@60323  = ~~
@60324  = ~~
@60325  = ~~
@60326  = ~你的样子真是奇怪。~
@60327  = ~~
@60328  = ~~
@60329  = ~~
@60330  = ~~
@60331  = ~~
@60332  = ~~
@60333  = ~~
@60334  = ~你的命还在，如果我还继续让你活下去。~ [DESHAR01]
@60335  = ~你会死在海底，去死吧！~ [DESHAR03]
@60336  = ~注意你的身份！~ [DESHAR04]
@60337  = ~~ [DESHAR05]
@60338  = ~~ [DESHAR06]
@60339  = ~~
@60340  = ~~
@60341  = ~~
@60342  = ~~
@60343  = ~~
@60344  = ~~
@60345  = ~~
@60346  = ~~
@60347  = ~~
@60348  = ~~
@60349  = ~~
@60350  = ~~
@60351  = ~也许现在我就是你。~ [PPDILI01]
@60352  = ~你已经不是你！也许我永远是你！~ [PPDILI03]
@60353  = ~~ [PPDILI04]
@60354  = ~~ [PPDILI05]
@60355  = ~坏狗！快滚开！！~ [PPDRAD01]
@60356  = ~所有的坏狗都死光光！！~ [PPDRAD03]
@60357  = ~~ [PPDRAD04]
@60358  = ~~ [PPDRAD05]
@60359  = ~是的是的，我有在专心听。~ [DRIZZT01]
@60360  = ~朋友们，一起奋战吧！~ [DRIZZT03]
@60361  = ~反正浪费的是你们的性命！~ [DRIZZT04]
@60362  = ~~ [DRIZZT05]
@60363  = ~~ [DRIZZT06]
@60364  = ~~
@60365  = ~~
@60366  = ~~
@60367  = ~~
@60368  = ~~
@60369  = ~~
@60370  = ~~
@60371  = ~~
@60372  = ~~
@60373  = ~~
@60374  = ~~
@60375  = ~~
@60376  = ~还有许多的事情要做。~ [ELHAN101]
@60377  = ~你会发现精灵们可不是好欺负的！~ [ELHAN103]
@60378  = ~~
@60379  = ~~
@60380  = ~死在精灵的剑下吧！~ [ELHAN104]
@60381  = ~~ [ELHAN105]
@60382  = ~~ [ELHAN106]
@60383  = ~~
@60384  = ~~
@60385  = ~~
@60386  = ~~
@60387  = ~~
@60388  = ~~
@60389  = ~~
@60390  = ~~
@60391  = ~~
@60392  = ~~
@60393  = ~~
@60394  = ~~
@60395  = ~我以索丹尼斯拉之名欢迎你。~ [ELLESI01]
@60396  = ~我将呼唤希达林诸神阻止你！~ [ELLESI03]
@60397  = ~我发誓，你的恐怖统治到此为止！~ [ELLESI04]
@60398  = ~~ [ELLESI05]
@60399  = ~~ [ELLESI06]
@60400  = ~（叹气）又有更多人来折磨我？~ [HELGEN01]
@60401  = ~我很高兴可以离开这牢笼。~ [HELGEN03]
@60402  = ~~ [HELGEN04]
@60403  = ~~ [HELGEN05]
@60404  = ~自然之母赐我力量，让我为她而战！~ [CEFALD01]
@60405  = ~来吧，来受死吧！~ [CEFALD03]
@60406  = ~你可悲的存在就此结束！~ [CEFALD04]
@60407  = ~~ [CEFALD05]
@60408  = ~母亲！我祈求你！帮助我！不不不不！~ [CEFALD06]
@60409  = ~~
@60410  = ~~
@60411  = ~~
@60412  = ~~
@60413  = ~~
@60414  = ~~
@60415  = ~~
@60416  = ~~
@60417  = ~~
@60418  = ~~
@60419  = ~~
@60420  = ~法术定序术允许施法者储藏数个法术的能量在一个法术定序单元中，然后再将魔力释放到任何的目标上，包括施法者本人。储存在定序能力当中的法术可以透过主游戏画面底下的特术能力按键，就像其他法术一样施展出来。要特别注意的是，当你选定好要储存在法术定序单元中的法术时，这些法术也会随之从法师的记忆中消失，就像已经被施展出去一样。然而法术定序单元却会一直持续保留到被用掉为止，所以法师可以进行休息将法术重新记忆起来。此法术的主要功能是允许施法者可以在战斗中，快速地同时释放出数个法术在同一个目标上，而不会有被中断的危机。~
@60421  = ~~
@60422  = ~我在等待巴尔之子。~ [HELFEA01]
@60423  = ~我什么也不怕！~ [HELFEA03]
@60424  = ~~ [HELFEA04]
@60425  = ~~ [HELFEA05]
@60426  = ~你能看见，那就是你的缺陷。~ [GAAL01]
@60427  = ~为盲目之眼而战！~ [GAAL03]
@60428  = ~亵渎神圣的有眼恶魔！~ [GAAL04]
@60429  = ~~ [GAAL05]
@60430  = ~不！盲目之眼救救我！~ [GAAL06]
@60431  = ~~
@60432  = ~~
@60433  = ~~
@60434  = ~~
@60435  = ~~
@60436  = ~~
@60437  = ~~
@60438  = ~~
@60439  = ~~
@60440  = ~~
@60441  = ~~
@60442  = ~~
@60443  = ~只要可以，我都会帮助你。~ [GAELEN01]
@60444  = ~你很快就会发现自己的错误！~ [GAELEN03]
@60445  = ~没有人可以打败影贼公会！~ [GAELEN04]
@60446  = ~~ [GAELEN05]
@60447  = ~~ [GAELEN06]
@60448  = ~~
@60449  = ~~
@60450  = ~~
@60451  = ~~
@60452  = ~~
@60453  = ~~
@60454  = ~~
@60455  = ~~
@60456  = ~~
@60457  = ~~
@60458  = ~~
@60459  = ~~
@60460  = ~让岩石毁灭你！~ [GOLDAN03]
@60461  = ~保护我们的花岗岩之家！~ [GOLDAN04]
@60462  = ~~ [GOLDAN05]
@60463  = ~~ [GOLDAN06]
@60464  = ~~
@60465  = ~~
@60466  = ~~
@60467  = ~~
@60468  = ~~
@60469  = ~~
@60470  = ~~
@60471  = ~~
@60472  = ~~
@60473  = ~~
@60474  = ~~
@60475  = ~~
@60476  = ~~
@60477  = ~~ [HELGRE01]
@60478  = ~愚蠢！~ [HELGRE03]
@60479  = ~~ [HELGRE04]
@60480  = ~~ [HELGRE05]
@60481  = ~误导~
@60482  = ~剧团生活永远不会无聊。~ [BDHIGG01]
@60483  = ~~ [BDHIGG03]
@60484  = ~很久以前，影子把我抓来这个洞穴……在不见天日的情况下，我根本不知道自己被抓来多久了。~
@60485  = ~可恶的无赖！准备挨打吧！~ [BDHIGG04]
@60486  = ~~ [BDHIGG05]
@60487  = ~~ [BDHIGG06]
@60488  = ~~
@60489  = ~~
@60490  = ~~
@60491  = ~~
@60492  = ~~
@60493  = ~~
@60494  = ~~
@60495  = ~~
@60496  = ~~
@60497  = ~~
@60498  = ~~
@60499  = ~~
@60500  = ~跟我的魔力比起来，你不过是只小虫。~ [IRENIC01]
@60501  = ~你不可能有希望打败我！~ [IRENIC03]
@60502  = ~死！去死！！你们全部都得死！！~ [IRENIC04]
@60503  = ~~ [IRENIC05]
@60504  = ~~ [IRENIC06]
@60505  = ~喔呵，你们可真是奇怪啊。~ [SAHKNG01]
@60506  = ~赛克拉！消灭他们！~ [SAHKNG03]
@60507  = ~我才是强者！~ [SAHKNG04]
@60508  = ~~ [SAHKNG05]
@60509  = ~~ [SAHKNG06]
@60510  = ~喔，烦啊……~ [FIRKRA01]
@60511  = ~去死吧，人类！~ [FIRKRA03]
@60512  = ~~ [FIRKRA04]
@60513  = ~~ [FIRKRA05]
@60514  = ~~ [FIRKRA06]
@60515  = ~~
@60516  = ~~
@60517  = ~~
@60518  = ~~
@60519  = ~~
@60520  = ~~
@60521  = ~~
@60522  = ~~
@60523  = ~~
@60524  = ~~
@60525  = ~~
@60526  = ~~
@60527  = ~我是可汗·查拉，伟大的巨灵！~ [TRGENI01]
@60528  = ~我成全你的死愿！~ [TRGENI03]
@60529  = ~没有价值的敌人，死吧！~ [TRGENI04]
@60530  = ~~ [TRGENI05]
@60531  = ~~ [TRGENI06]
@60532  = ~~
@60533  = ~~
@60534  = ~~
@60535  = ~~
@60536  = ~~
@60537  = ~~
@60538  = ~~
@60539  = ~~
@60540  = ~~
@60541  = ~~
@60542  = ~~
@60543  = ~~
@60544  = ~欢迎来到我的领域！~ [KALAH01]
@60545  = ~你没有希望打败我！~ [KALAH04]
@60546  = ~死在卡拉的神力之下！~ [KALAH05]
@60547  = ~~ [KALAH06]
@60548  = ~不－不不不……！~ [KALAH07]
@60549  = ~~
@60550  = ~~
@60551  = ~~
@60552  = ~~
@60553  = ~~
@60554  = ~~
@60555  = ~~
@60556  = ~~
@60557  = ~~
@60558  = ~~
@60559  = ~~
@60560  = ~~
@60561  = ~很抱歉，我们现在很忙，你们可以待会儿再过来。~
@60562  = ~经历了这么久，我欢迎死亡的到来……~ [LAVOK01]
@60563  = ~我花了几世纪学来的东西，只要几秒钟就可以杀死你！~ [LAVOK03]
@60564  = ~我无法忍受这样！~ [LAVOK04]
@60565  = ~~ [LAVOK05]
@60566  = ~~ [LAVOK06]
@60567  = ~~
@60568  = ~~
@60569  = ~~
@60570  = ~~
@60571  = ~~
@60572  = ~~
@60573  = ~~
@60574  = ~~
@60575  = ~~
@60576  = ~~
@60577  = ~~
@60578  = ~~
@60579  = ~这是干嘛？！~ [MAEVAR01]
@60580  = ~死吧，给我慢慢地死吧！~ [MAEVAR03]
@60581  = ~你真是笨蛋才敢挑战我。~ [MAEVAR04]
@60582  = ~~ [MAEVAR05]
@60583  = ~~ [MAEVAR06]
@60584  = ~~
@60585  = ~~
@60586  = ~~
@60587  = ~~
@60588  = ~~
@60589  = ~~
@60590  = ~~
@60591  = ~~
@60592  = ~~
@60593  = ~~
@60594  = ~~
@60595  = ~~
@60596  = ~我会这片土地服务。~ [KPDOMO01]
@60597  = ~为你的领土与家园！~ [KPDOMO03]
@60598  = ~为城堡的荣耀而战！~ [KPDOMO04]
@60599  = ~~ [KPDOMO05]
@60600  = ~~ [KPDOMO06]
@60601  = ~~
@60602  = ~~
@60603  = ~~
@60604  = ~~
@60605  = ~~
@60606  = ~~
@60607  = ~~
@60608  = ~~
@60609  = ~~
@60610  = ~~
@60611  = ~~
@60612  = ~~
@60613  = ~我的漂亮宝贝……~ [PPNALJ01]
@60614  = ~~ [PPNALJ03]
@60615  = ~~ [PPNALJ04]
@60616  = ~~ [PPNALJ05]
@60617  = ~啊，又是你。~ [PHAERE01]
@60618  = ~阻挡我的人都得死！~ [PHAERE03]
@60619  = ~罗丝赐予我荣耀！~ [PHAERE04]
@60620  = ~~ [PHAERE05]
@60621  = ~~ [PHAERE06]
@60622  = ~~
@60623  = ~~
@60624  = ~~
@60625  = ~~
@60626  = ~跟你说话真是贬低了我的身份。~
@60627  = ~~
@60628  = ~~
@60629  = ~~
@60630  = ~~
@60631  = ~~
@60632  = ~~
@60633  = ~我在此等候巴尔之子。~ [HELPRI01]
@60634  = ~你这愚蠢的笨蛋！~ [HELPRI03]
@60635  = ~~ [HELPRI04]
@60636  = ~~ [HELPRI05]
@60637  = ~孩子，你需要什么吗？~ [RAELIS01]
@60638  = ~我们没这么容易被打败！~ [RAELIS03]
@60639  = ~你真的以为我娇弱无助？！~ [RAELIS04]
@60640  = ~啊！~ [RAELIS05]
@60641  = ~吾爱……我很抱歉……~ [RAELIS06]
@60642  = ~~
@60643  = ~~
@60644  = ~~
@60645  = ~~
@60646  = ~~
@60647  = ~~
@60648  = ~~
@60649  = ~~
@60650  = ~~
@60651  = ~~
@60652  = ~~
@60653  = ~~
@60654  = ~是，我还在这儿。~ [RENAL01]
@60655  = ~和我作对是你这辈子最后的错误！~ [RENAL04]
@60656  = ~好了，够了，你该去死了。~ [RENAL05]
@60657  = ~~ [RENAL06]
@60658  = ~~ [RENAL07]
@60659  = ~~
@60660  = ~~
@60661  = ~~
@60662  = ~~
@60663  = ~~
@60664  = ~~
@60665  = ~~
@60666  = ~~
@60667  = ~~
@60668  = ~~
@60669  = ~~
@60670  = ~~
@60671  = ~诶？有话就快点说吧。~ [PPSAEM01]
@60672  = ~为了荣耀与所有的女人！~ [PPSAEM03]
@60673  = ~笨蛋，准备接招吧！~ [PPSAEM04]
@60674  = ~~ [PPSAEM05]
@60675  = ~~ [PPSAEM06]
@60676  = ~~
@60677  = ~~
@60678  = ~~
@60679  = ~~
@60680  = ~~
@60681  = ~~
@60682  = ~~
@60683  = ~~
@60684  = ~~
@60685  = ~~
@60686  = ~~
@60687  = ~~
@60688  = ~我们又相遇了。~ [HELSAR01]
@60689  = ~现在换我好好报答你！~ [HELSAR03]
@60690  = ~~ [HELSAR04]
@60691  = ~~ [HELSAR05]
@60692  = ~日子一天天过……~ [SASSAR01]
@60693  = ~我们会战到最后一刻！~ [SASSAR03]
@60694  = ~我们会活下去！~ [SASSAR04]
@60695  = ~~ [SASSAR05]
@60696  = ~~ [SASSAR06]
@60697  = ~~
@60698  = ~~
@60699  = ~~
@60700  = ~~
@60701  = ~~
@60702  = ~~
@60703  = ~~
@60704  = ~~
@60705  = ~~
@60706  = ~~
@60707  = ~~
@60708  = ~~
@60709  = ~我在此等候巴尔之子。~ [HELSEL01]
@60710  = ~你可以试试看，能否摧毁我。~ [HELSEL03]
@60711  = ~~ [HELSEL04]
@60712  = ~~ [HELSEL05]
@60713  = ~你在此仍然是奇异的陌生人。~ [SAHPR101]
@60714  = ~赛克拉今夜将有祭品可享用！~ [SAHPR103]
@60715  = ~你的性命就此结束！~ [SAHPR104]
@60716  = ~~ [SAHPR105]
@60717  = ~~ [SAHPR106]
@60718  = ~死在我的怀抱……~ [SHADEL01]
@60719  = ~时间到了，我要品尝你的灵魂！~ [SHADEL04]
@60720  = ~你来这边真是愚蠢。~ [SHADEL05]
@60721  = ~~ [SHADEL06]
@60722  = ~不！这不可能！~ [SHADEL07]
@60723  = ~拉沃克五百年前就和这座球体一起消失，直到现在才又出现。~
@60724  = ~~ [SILVER13]
@60725  = ~品尝远古龙族的怒火！~ [SILVER03]
@60726  = ~~ [SILVER04]
@60727  = ~~ [SILVER05]
@60728  = ~~ [SILVER06]
@60729  = ~我的祖先，死灵巫师拉沃克，在五百年前建造了这个次元球体，然后就消失无踪。直到现在才又再度出现。~
@60730  = ~~
@60731  = ~~
@60732  = ~~
@60733  = ~~
@60734  = ~~
@60735  = ~~
@60736  = ~~
@60737  = ~~
@60738  = ~~
@60739  = ~~
@60740  = ~~
@60741  = ~~ [SILVER22]
@60742  = ~我的祖先，死灵巫师拉沃克，在五百年前建造了这个次元球体，然后就消失无踪。直到现在才又再度出现。~
@60743  = ~请不要打断我们的思绪。我们必须要小心准备，才能看穿灵吸怪网络的弱点。~ [SIMYAZ01]
@60744  = ~Dak col' na HATHK!~ [SIMYAZ03]
@60745  = ~吉斯之子绝不会投降！~ [SIMYAZ04]
@60746  = ~~ [SIMYAZ05]
@60747  = ~~ [SIMYAZ06]
@60748  = ~~
@60749  = ~~
@60750  = ~~
@60751  = ~~
@60752  = ~~
@60753  = ~~
@60754  = ~~
@60755  = ~~
@60756  = ~~
@60757  = ~~
@60758  = ~~
@60759  = ~~
@60760  = ~我做我该做的事情，当我必须的时候。听清楚了。~ [UDSOLA01]
@60761  = ~为战士协会的荣耀而战！~ [UDSOLA03]
@60762  = ~为罗丝的荣耀！~ [UDSOLA04]
@60763  = ~~ [UDSOLA05]
@60764  = ~~ [UDSOLA06]
@60765  = ~~
@60766  = ~~
@60767  = ~~
@60768  = ~~
@60769  = ~~
@60770  = ~~
@60771  = ~~
@60772  = ~~
@60773  = ~~
@60774  = ~~
@60775  = ~~
@60776  = ~~
@60777  = ~我做我该做的事情。~
@60778  = ~你逃不过我的！~
@60779  = ~你该去死啦！~
@60780  = ~~
@60781  = ~~
@60782  = ~~
@60783  = ~~
@60784  = ~~
@60785  = ~~
@60786  = ~~
@60787  = ~~
@60788  = ~~
@60789  = ~~
@60790  = ~~
@60791  = ~~
@60792  = ~~
@60793  = ~~
@60794  = ~提亚斯会统治世界！你等着看吧！~ [PPTIAX01]
@60795  = ~提亚斯要惩罚你！~ [PPTIAX03]
@60796  = ~~ [PPTIAX04]
@60797  = ~~ [PPTIAX05]
@60798  = ~呵嗯？~ [TOGAL01]
@60799  = ~你去死！我们吃好料！！~ [TOGAL04]
@60800  = ~~ [TOGAL05]
@60801  = ~~ [TOGAL06]
@60802  = ~~ [TOGAL07]
@60803  = ~我为大家的最佳利益考量。~ [SAHPR201]
@60804  = ~阻碍我的家伙都得死！~ [SAHPR203]
@60805  = ~被驱逐的人都一定要活下去！~ [SAHPR204]
@60806  = ~~ [SAHPR205]
@60807  = ~~ [SAHPR206]
@60808  = ~~
@60809  = ~~
@60810  = ~~
@60811  = ~~
@60812  = ~~
@60813  = ~~
@60814  = ~~
@60815  = ~~
@60816  = ~~
@60817  = ~~
@60818  = ~~ [SAHPR225]
@60819  = ~~
@60820  = ~不！我不会再输了！~ [VITHAL03]
@60821  = ~致命的错误！~ [VITHAL04]
@60822  = ~~ [VITHAL05]
@60823  = ~~ [VITHAL06]
@60824  = ~~
@60825  = ~~
@60826  = ~~
@60827  = ~~
@60828  = ~~
@60829  = ~~
@60830  = ~~
@60831  = ~~
@60832  = ~~
@60833  = ~~
@60834  = ~~
@60835  = ~不要现在！监禁所占用了我全部的时间！~ [PPWANE01]
@60836  = ~是我的！全都是我的！你不可以拿去！~ [PPWANE03]
@60837  = ~~ [PPWANE04]
@60838  = ~~ [PPWANE05]
@60839  = ~够了，小布不想跟你辩了。这真是又老又旧又无聊的话题。~
@60840  = ~~
@60841  = ~当你打倒一个巨魔时，对它使用火或酸来杀死它。~
@60842  = ~如果你的等级被吸走了，使用恢复卷轴或法术，以恢复失去的等级。神殿也可以协助你。~
@60843  = ~按Q键可以快速储存游戏。务必常常执行这个动作。~
@60844  = ~你可以使用H键，将所有的界面面板隐藏起来。暂停或再按一次H键则可使之再度显示。~
@60845  = ~你可以用640x480和800x600的解析度进行《博德之门II》游戏。~
@60846  = ~如果战斗对你而言过于困难，请在游戏选项页面中，将游戏困难度改成较容易。~
@60847  = ~画面右下角的星号按钮可以让你使用所有人物的特殊能力。~
@60848  = ~你可以为你的角色设定新的脚本。进入记录页面，再点选自定按钮。~
@60849  = ~当你选择一名以上的人物时，你可以在任意队形按钮上按鼠标右键，以使用更多的队形。~
@60850  = ~在近身战斗中，不要使用远程武器；如果你未装备肉搏武器，敌人将获得+4的攻击加权。~
@60851  = ~算了吧！预兆是为了那些随时随地注意环境的人而存在的，对我们来说才不是呢，对吧，小布？~
@60852  = ~这些重鳞片在阳光下发光，摸起来暖暖的。你从影龙身上拿下不少鳞片……也许可以用来制造某种盾片或护甲。

数据资料：

重量：15~
@60853  = ~欢迎光临冒险者商店！~
@60854  = ~我们有你需要的所有装备！~
@60855  = ~叫卖小贩~
@60856  = ~叫卖小贩~
@60857  = ~来喔！到冒险者集市喔！任何冒险者都可以在这里找到自己需要的装备，快进来看喔！~
@60858  = ~我不想跟你说话。~
@60859  = ~他们在卖些什么？~
@60860  = ~魔法武器跟一般武器！从龙窟偷来的护甲！各种法术卷轴！您要的东西，我们都有！~
@60861  = ~那么，再见了，<SIRMAAM>。~
@60862  = ~克伦·斐尔+5~
@60863  = ~这是矮人铁匠银锋为他的儿子铸造的武器的真正名称。可惜，他的儿子在武器完成前就死了……将原本的铁锤和食人魔怪力手套及霜巨人之力束带结合而成。克伦·斐尔让它的使用者获得原本的雷霆战锤的所有威力，并且提高力量，还有一击杀死魔像、双头巨人及巨魔的能力。

数据资料：

装备能力：
-力量：25

战斗能力：
-直接杀死石魔像、粘土魔像、双头巨人及巨魔

零级命中值：+5
伤害：2d4+3，+5电力伤害
伤害类型：钝击
使用速度：1
武器特长类别：战锤
使用类别：单手

重量：4~
@60864  = ~这是“平衡者”的碎片之一，那是一把远古铸成的强大长剑，作为平衡宇宙力量的工具。它亦称为“中立之剑”，目标的阵营与“绝对中立”相差越大，它造成的伤害也越大。据说平衡者最后是由精灵英雄“亚兰·绿叶”所使用，他在前往幽暗地域之后失踪了。但是其它的传言则说，这把剑的剑柄宝石被一个逃回地面世界的奴隶偷走了。

数据资料：

重量：2~
@60865  = ~鉴识眼镜~
@60866  = ~这把长剑的历史悠久，出处早已被遗忘，但是它的标志暗示它可能是为了侍奉海姆而铸。它似乎是为了寻找和终结异端而制，将宇宙更加拉近和谐的地步。目标的行为越偏离平衡，所受的伤害越大。

数据资料：

装备能力：
-免疫魅惑和困惑

战斗能力：
-攻击视为+3武器

零级命中值及伤害：
	对绝对中立敌人：零级命中值：+0，伤害：1d8
	对守序中立、混乱中立敌人：零级命中值：+1，伤害：1d8+1
	对中立善良、中立邪恶敌人：零级命中值：+2，伤害：1d8+4
	对其它阵营敌人：零级命中值：+3，伤害：1d8+6
伤害类型：挥砍
使用速度：3
武器特长类别：长剑
使用类别：单手
需求：
力量6

重量：3~
@60867  = ~这是葛森可汗打造过的弓里头最好的一柄，它可以从另一个界域里汲取出能量，并以闪电飞矛的形式发出，而非箭矢……因此不需要任何形式的弹药。传说中，葛森准备在售出这堪称为无价之宝的武器后就退隐，但是却被一名小偷从他手上将弓强行夺走，并用它杀死葛森。此外这柄弓也具有为使用者提供了抗电能力的额外功能。

数据资料：

装备能力：
-电力抗性：+20%

战斗能力：
-当未装备任何箭时，这把弓的攻击视作+4武器，包括下面列出的零级命中值+4的奖励，造成2点穿刺伤害和1d8点电力伤害

零级命中值：+4
伤害：2（穿刺），+1D8（电力）
使用速度：4
武器特长类别：短弓
使用类别：双手
需求：
力量3

重量：2~
@60868  = ~无论如何，往那儿出城……一直走，到一座大教堂时再向右转，你就出了城了。~
@60869  = ~这是短弓的弓身，拿在手中时会微微振动。它是武器的一部分，只缺少适当的弓弦。

数据资料：

重量：0~
@60870  = ~这条弦是短弓所有，但是是用一种特别的金属制成，似乎一碰它就会振动。

数据资料：

重量：0~
