@37540  = ~I would like you to join us again, Haer'Dalis.《我希望你再加入我們，海爾達利。》~
@37983  = ~What do you know about what's going on in the forest to the west?《你知道西邊的森林出了什麼事情嗎？》~
@37984  = ~Have there been any problems with Madulf and his followers?《馬道夫和他的夥伴有出什麼問題嗎？》~
@37985  = ~How has the alliance with Madulf been working out?《和馬道夫的合作進行得如何？》~
@37986  = ~I trust there's been no further trouble from Lord Igen and his men?《我相信伊根爵士和他手下應該沒有再惹什麼麻煩了吧？》~
@37987  = ~I trust no one has come to take vengeance for Lord Igen, or continue his disturbance of the wilderness?《我相信應該沒有人去伊根爵士洩恨，或是繼續他對森林的騷擾了吧？》~
@37988  = ~I take it everyone is thankful for the alliance with Madulf now?《我想每個人應該都很感謝和馬道夫的合作吧？》~
@37989  = ~I take it people have changed their minds here about Madulf and his followers? The alliance goes well?《我想人們應該已經改變了對馬道夫他們的看法了吧？合作進行的如何？》~
@37990  = ~There have been no further sightings of the ogrons, I take it?《沒有再出現獸人的攻擊了吧？》~
@37991  = ~The village has been quiet since the Umar business, I take it?《自從烏瑪事件結束後，村莊應該平靜許多了吧？》~
@37992  = ~You know quite a bit about the area's history, Nelleck... what can you tell me about it?《你對這附近的歷史似乎知道得不少，尼雷克……可以告訴我一些過去的故事嗎？》~
@37993  = ~No, thanks.《不用，謝謝了。》~
@37994  = ~Not much, my <PRO_LADYLORD> ranger... that noble came an' didn't even talk to the minister. Just marched on over there with 'is men, easy as ye please.《我知道的不多，遊俠<PRO_LADYLORD>……那個貴族來到這邊，甚至也沒跟村長談話。就帶著手下到森林裡頭去了。》~
@37995  = ~There was lots o' relics and such left from th' days when mithral was mined in th' hills... but most of it's long gone. I don't think he'll find none.《以前這附近的丘陵在生產秘銀的時候，好像留下了很多的遺物還是什麼的……不過大多數都已經不見了。我不認為他可以找到什麼東西。》~
@37996  = ~ 'At don't mean he won't disturb the forest, or burn it down while he's goin' about 'is business. Tsk... a real shame. Me pa said that area's all holy ground.《不過這可不代表他不會騷擾整座森林，或是乾脆放火把它給燒了。嘖嘖……真是可恥。我老爹說那塊地方是個神聖的地方。》~
@37997  = ~None. Like I've said before... Madulf an' 'em are pretty quiet an' keep t' themselves, mostly. I don't think they wants any trouble.《沒有。就像我說過一樣……馬道夫和他們都相當平靜，大部分時候都這樣。我想他們應該不想要惹出任何麻煩。》~
@37998  = ~Better than ye'd think, my <PRO_LADYLORD>. Madulf and a couple o' others have been in an' out a few times... buyin' food an' usin' the inn.《比你想像的還要好，<PRO_LADYLORD>。馬道夫和他的夥伴到我們村莊來好幾次了……買些食物，在旅店過夜什麼的。》~
@37999  = ~Folks were scared at first, but they've been real polite. Keepin' a low profile too... as low as 'em big 'uns can get, anyway. The merchants like it, anyhow.《人們一開始也是很害怕，但他們真的很有禮貌。也竟量保持低姿態……反正商人們還蠻喜歡這樣的。》~
@38000  = ~Nay. They're long gone... an' good riddance. Got what they came for, didn't they? Heh...《不，他們早就走了……真是走得好。拿到了他們想要的東西，不是嗎？嘿……》~
@38001  = ~Nay... no one's come. Nasty bugger wasn't liked much even by them other nobles, I guess. The sacred ground will stay as it is, more or less undisturbed.《不……沒有人這樣做。我猜那些傢伙大概連其他的貴族也不喜歡他們。聖地又恢復了以前的樣子，沒有受到什麼打擾。》~
@38002  = ~Aye. Even Johanna went an' thanked Madulf personally. And now Imnesvale's got defenders like no one else. Who'd 'ave thought, aye, m'<PRO_LADYLORD>?《誒，甚至連喬漢納都親自過去謝謝馬道夫了。而且現在伊涅維爾村有了前所未有的守護者，以前有誰想得到勒，是不是啊<PRO_LADYLORD>？》~
@38003  = ~Be a dear... ferry my belongings outside. Then you can go back to polishing your helm, or whatever it is you paladins do when you're not saving the helpless girl.《幫個忙吧……把我的東西提到外面去。然後你們就可以會去繼續擦你們的頭盔，還是隨便什麼東西的，當你們沒有在拯救無助小女孩時候的事情。》~
@38004  = ~Mist Horror《恐懼霧魔》~
@38005  = ~Aye. No one expected Madulf and his followers t' actually help anyone. They been by t' trade things an' such... real polite. People are mighty thankful.《誒，沒有人料得到馬道夫他們真的會幫上忙。他們過來交易了好幾次，而且都……好有禮貌。大家都覺得很感謝。》~
@38006  = ~Nay, my <PRO_LADYLORD>. No sightings. Been a long time since them orcs attacked... an' I think they'll think twice now 'fore they try it again.《不，<PRO_LADYLORD>，沒有看見什麼舉動。那些半獸人攻擊已經過了好一陣子……我想現在他們如果還想攻擊，大概會先多考慮幾遍了吧。》~
@38007  = ~Get back upstairs, brat! I'll decide when it's safe for you to leave!《回到樓上去，小鬼！安全的時候我自然會放你離開！》~
@38008  = ~I would appreciate it if you would go back upstairs. It is for your own safety.《這是為了你的安全著想，你最好還是回到樓上去。》~
@38009  = ~Aye, things have been going very well an' smoothly, like. We're all mighty grateful to have ye here, my <PRO_LADYLORD> ranger. 《誒，最近一切都過得很順利。我們都很感激有你在這裡，遊俠<PRO_LADYLORD>。》~
@38010  = ~Whatever. Got some real control issues to work out, I think. Sound like Mother, you do. I'll probably get more from Hurgis too. Moralizing old coot.《隨便，反正還是都要聽你的。你說起話來就跟我老媽子一樣，我看搞不好霍吉斯那老傢伙還會更慘。討人厭的正派老頑固。》~
@38011  = ~Well... the village has been here for centuries, my <PRO_LADYLORD>. Even during Umar's rule... although it was a darker place then, an' mostly just farms an' such.《好的……這村莊在這邊已經好幾個世紀了，<PRO_LADYLORD>。即使在烏瑪統治的時候……雖然那時候是個可怕的地方，不過大多數都是農田森林什麼的。》~
@38012  = ~There was a rush a few centuries back... found mithral in th' hills. Temples and such were built all o'er the place, then abandoned when the mines ran dry.《幾個世紀前有出現過一股熱潮……在附近的山丘裡發現了秘銀礦脈。神殿和屋子到處都是，可是等到礦挖完的時候也都被拋棄了。》~
@38013  = ~All the nobles an' priests left, an' everythin' they built has fallen into ruin. Lots o' creatures moved into them dark places... 'at's why we needed a ranger.《所有的貴族和教士都離開了，他們建造的東西也都變成廢墟。許多的生物都搬進了那些黑暗的地方……所以我們才需要一位遊俠。》~
@38014  = ~Whatever. Got some real control issues to work out, I think. Sound like Father, you do. I'll probably get more from Hurgis too. Moralizing old coot.《隨便，反正還是都要聽你的。你說起話來就跟我老爹一樣，我看搞不好霍吉斯那老傢伙還會更慘。討人厭的正派老頑固。》~
@38015  = ~Some spells have changed since BG1. Check the spell descriptions.《有些法術的功能與柏德之門I代不同，請參閱說明書。》~
@38016  = ~As ye wish, my <PRO_LADYLORD>... anythin' ye wish, I'll always be glad t' help ye.《如你所願，<PRO_LADYLORD>……不論你想要什麼，我都很樂意幫助你。》~
@38017  = ~Despite all ye've done fer us, ye're no longer welcome here, my <PRO_LADYLORD>. Yer type... well, maybe ye'd better just be on yer way.《儘管你曾經幫助過我們，但你在此已經不受歡迎了，<PRO_LADYLORD>。你的作風……好吧，也許你最好還是離開我們。》~
@38018  = ~There's ogrons come from the hills, my <LADYLORD>... orcs with ogre blood in 'em. They're gathered near the cave north o' the river, plannin' to attack the village.《山丘上出現了魔獸人，<LADYLORD>……混雜食人魔血統的半獸人。他們聚集在河流北方的洞穴附近，計劃攻擊我們村子。》~
@38019  = ~There are many spells available that can be used to dispel invisibility and illusions (such as Mirror Image). Check the manual.《有很多法術可以用來解除隱形和幻影（例如鏡影術）。請查閱手冊。》~
@38020  = ~You can add your own sounds to a character. Check the Readme file to see how this is done.《你可以將自己錄製的聲音套用到遊戲中的角色，請參閱readme檔案。》~
@38021  = ~Throughout the game, there are hidden artifact pieces. A dwarf named Cromwell can forge these into a complete item.《在遊戲中，有許多神器的碎片散佈隱藏各地，一個名為克倫威爾的矮人能將碎片群組合成完整的物品。》~
@38022  = ~We'll have t' leave the village unless somethin' is done. Maybe ye should go an' talk to the minister, if ye haven't already.《除非有人可以阻止他們，否則我們就得離開村子避難。如果你還沒去找村長的話，也許你應該去和他談一談。》~
@38023  = ~There's ogrons come from th' hills, my <LADYLORD>... orcs mixed with ogre blood. That ogre, Madulf, an' his followers... they've been fightin' them for the village.《山丘上出現了許多魔獸人，<LADYLORD>……混雜食人魔血統的半獸人。那個食人魔馬道夫和他的同伴……他們為了保護村莊已經和他們打起來了。》~
@38024  = ~Be a dear... ferry my belongings outside. Then you can go back to polishing your helm, or whatever it is you paladins do when you're not saving the helpless girl.《幫個忙吧……把我的東西提到外面去。然後你們就可以會去繼續擦你們的頭盔，還是隨便什麼東西的，當你們沒有在拯救無助小女孩時候的事情。》~
@38025  = ~Get back upstairs, brat! I'll decide when it's safe for you to leave!《回到樓上去，小鬼！安全的時候我自然會放你離開！》~
@38026  = ~Madulf's given us some time, but the ogrons have him holed up in the cave north o' the river. He needs help... talk to the minister, if ye haven't already.《馬道夫給了我們一些時間，但是那些魔獸人把他們堵在河流北邊的洞穴。他需要援助……如果你還沒去找村長的話，也許你應該去和他談一談。》~
@38027  = ~I would appreciate it if you would go back upstairs. It is for your own safety.《如果你能回到樓上去，我會很感激你。這都是為了你的安全著想。》~
@38028  = ~Whatever. Got some real control issues to work out, I think. Sound like Mother, you do. I'll probably get more from Hurgis too. Moralizing old coot.《隨便，反正還是都要聽你的。你說起話來就跟我老媽子一樣，我看搞不好霍吉斯那老傢伙還會更慘。討人厭的正派老頑固。》~
@38029  = ~Whatever. Got some real control issues to work out, I think. Sound like Father, you do. I'll probably get more from Hurgis too. Moralizing old coot.《隨便，反正還是都要聽你的。你說起話來就跟我老爹一樣，我看搞不好霍吉斯那老傢伙還會更慘。討人厭的正派老頑固。》~
@38030  = ~There's ogrons come from th' hills, my <LADYLORD> ranger... orcs mixed with ogre blood. Madulf an' his followers, they've kept their word and fought against 'em.《遊俠<LADYLORD>，山丘上出現了許多魔獸人……他們是混雜食人魔血統的半獸人。馬道夫和他的同伴，他們遵守承諾，已經和他們打起來了。》~
@38031  = ~They've bought us some time... but the ogrons cornered 'em in a cave north o' the river. They need help. Best go an' see the minister, if ye haven't already.《他們為我們爭取了一些時間……但是那些魔獸人把他們堵在河流北邊的洞穴。他需要援助，如果你還沒去找村長的話，你最好立刻去和他談一談。》~
@38032  = ~Good morrow to you. I have been informed that this is where I am to take custody of my goddaughter. I trust she is well.《早安你好，我被告知說我的養女正在此處接受保護。我相信她應該沒事吧。》~
@38033  = ~My <LADYLORD>! The... the witch, Umar, has returned an' warns us all to leave 'fore she murders us all! I can hardly believe it t' be true!《遊俠<LADYLORD>！女……女巫烏瑪又回來了！她警告說要我們趕快全部搬走，否則就要殺光我們！我簡直不敢相信這是真的！》~
@38034  = ~The minister has asked for ye... go an' speak to him, if ye haven't already. He knows where the witch to be... ye must protect us, my <LADYLORD>!《村長正在四處詢問你的下落……如果你還沒跟他談話，請趕快去找他。他知道女巫人在哪裡……你一定要保護我們啊！》~
@38035  = ~You may refer to me as Lord Baltezan, or "sire." I will not accept any delay in the delivery of this child into my care. Tell her it is time to go.《你可以稱呼我為包爾提森大人，或是爵士。我不能在接受任何的耽延，請馬上把這孩子交給我。告訴她準備立刻出發。》~
@38036  = ~Good morrow, to you. I have been informed that this is where I am to take custody of my goddaughter. I trust she is well.《早安你好，我被告知說我的養女正在此處接受保護。我相信她應該沒事吧。》~
@38037  = ~She is safe and sound, as promised. I trust you can verify your identity.《如同我們所承諾的，她的確安然無恙。但我相信你應該可以先證明你的身份吧。》~
@38038  = ~No thanks to her own efforts. You are welcome to her, if you truly are Hurgis.《她一點事也沒有。我很樂意讓你趕快帶走她，如果你真的是霍吉斯的話。》~
@38039  = ~Mist Horror《恐懼霧魔》~
@38040  = ~She is safe and sound, as promised. I trust you can verify your identity.《如同我們所承諾的，她的確安然無恙。但我相信你應該可以先證明你的身份。》~
@38041  = ~No thanks to her own efforts. You are welcome to her, if you truly are Hurgis.《她一點事也沒有。我很樂意讓你趕快帶走她，如果你真的是霍吉斯的話。》~
@38042  = ~Wandering Horror《恐怖游霧》~
@38043  = ~Petrified《石化》~
@38044  = ~~
@38045  = ~Ahhh... good day to you, then. Is there something that you need?《啊……你好。你需要什麼東西嗎？》~
@38046  = ~I'd like to see what you have in stock.《我想看看你的貨物。》~
@38047  = ~You may refer to me as Lord Baltezan, or "sire." I will not accept any delay in the delivery of this child into my care. Tell her it is time to go.《你可以稱呼我為包爾提森大人，或是先生。我不能在接受任何的耽延，請馬上把這孩子交給我。告訴她準備立刻出發。》~
@38048  = ~No, thanks.《不，謝了。》~
@38049  = ~Of course. Help yourself.《當然，請自便。》~
@38050  = ~As you wish.《隨便你。》~
@38051  = ~Yes, sire, I will tell her immediately. Will she recognize you when she sees you?《是的，爵士先生，我會告訴她馬上準備啟程。當她見到你的時候，她會認得你嗎？》~
@38052  = ~I apologize for my impudence, sire. I merely wished to confirm who you were.《爵士先生，請原諒我的無理。我只是希望能夠確認你的身份。》~
@38053  = ~Yes, sire, I will tell her immediately. Will she recognize you when she sees you?《是的，先生，我會告訴她馬上準備啟程。當她見到你的時候，她會認得你嗎？》~
@38054  = ~I apologize for my impudence, sire. I merely wished to confirm who you were.《先生，請原諒我的無理。我只是希望能夠確認你的身份。》~
@38055  = ~Watch your tone with me, gnome.《侏儒，注意你說話的語氣。》~
@38056  = ~*sigh* Well... ye are the local ranger here. Very well, I'll keep me brusqueness to meself, if it offends ye. Now... did ye want t' buy somethin' or nay?《（唉）唔……你是本地的遊俠。對不起，我太無禮了，竟然冒犯了你。那麼，你到底有沒有要買東西？》~
@38057  = ~Yes, please.《要，麻煩你了。》~
@38058  = ~No, not really.《不，我沒有要買東西。》~
@38059  = ~As ye wish then. But you'll get no discount here... I nae be givin' me shelves o' goods away.《就照你的意思吧。不過我可不會打折……我的貨都是貨真價實的。》~
@38060  = ~Then be on yer way, <PRO_RACE>.《快上路吧，<RACE>。》~
@38061  = ~I don't serve the likes o' you. Find somewhere else t' spend yer coin, <RACE>.《我可不賣東西給你這樣的人。去別的地方買吧，<RACE>。》~
@38062  = ~Astral Hound《星界犬》~
@38063  = ~Astral Hound《星界犬》~
@38064  = ~Is there... is there something that you need?《你……你有沒有什麼需要？》~
@38065  = ~I'd like to see what you have in stock.《我想看看你的貨物。》~
@38066  = ~No, not really.《不，沒有。》~
@38067  = ~Very well.《很好。》~
@38068  = ~As you wish.《就照你的意思。》~
@38069  = ~I doubt she will, though I attended her birth. No, you have only my word and the word of your superiors. That should suffice for a creature of duty such as you.《雖然她出生的時候我也在場，但我想她應該是不認得我了。不，你只有我說的話，還有你上級的命令可以做判斷。但是對像你這樣盡責的人而言，這樣應該就足夠了。》~
@38070  = ~I doubt she will, though I attended her birth. No, you have only my word and the word of your superiors. That should suffice for a creature of duty such as you.《雖然她出生的時候我也在場，但我想她應該是不認得我了。不，你只有我說的話，還有你上級的命令可以做判斷。但是對像你這樣盡責的人而言，這樣應該就足夠了。》~
@38071  = ~You have my word and the instruction of your Order. That should be enough. You value your service to the Order, do you not? Of course you do.《你有我的保證和騎士團給你的指示，這樣應該就足夠了。你很重視對騎士團的服務與奉獻，對不對？當然一定是如此。》~
@38072  = ~You have my word and the instruction of your Order. That should be enough. You value your service to the Order, do you not? Of course you do.《你有我的保證和騎士團給你的指示，這樣應該就足夠了。你很重視對騎士團的服務與奉獻，對不對？當然一定是如此。》~
@38073  = ~Greetings, <GABBER>. We have not forgotten what you or our ranger have done for us, certainly... you are welcome to stay in our village as long as you like.《歡迎，<GABBER>，我們不會忘記你和我們的遊俠為我們所做的一切……你想在這裡待多久都沒關係。》~
@38074  = ~Now inform the child that I am here for her. I do not wish to tarry in this place, for it is known to her enemies. Be quick now.《好了，告訴那孩子我來接她了。我不希望再這邊多耽擱幾刻，因為她的敵人也知道她在這裡。麻煩請你快一點。》~
@38075  = ~Now inform the child that I am here for her. I do not wish to tarry in this place, for it is known to her enemies. Be quick now.《好了，告訴那孩子我來接她了。我不希望再這邊多耽擱幾刻，因為她的敵人也知道她在這裡。麻煩請你快一點。》~
@38076  = ~I cannot wait long; assassins will be rallying. True safety will only come back at my estate in Baldur's Gate. Deliver my goddaughter as ordered.《我不能等太久；殺手很快就會追過來。唯有趕緊回到我在柏德之門的宅院，才能獲得真正的安全。快點遵照上級命令，把我養女交給我。》~
@38077  = ~I cannot wait long; assassins will be rallying. True safety will only come back at my estate in Baldur's Gate. Deliver my goddaughter as ordered.《我不能等太久；殺手很快就會追過來。唯有趕緊回到我在柏德之門的宅院，才能獲得真正的安全。快點遵照上級命令，把我養女交給我。》~
@38078  = ~Actually... this is a matter I really must talk to our <PRO_LADYLORD> ranger about, my <LADYLORD>. No offense...《其實，我真的得和你談談我們遊俠<PRO_LADYLORD>的事，我的<LADYLORD>，我無意冒犯……》~
@38079  = ~Actually... the matter of the ogrons is something I really must talk to our <PRO_LADYLORD> ranger about, my <LADYLORD>. No offense...《可是……食人魔的事我得跟我們的遊俠<PRO_LADYLORD>說，我的<LADYLORD>。我無意冒犯……》~
@38080  = ~Of course, sire. Forgive my cautious nature.《是的，爵士先生。請原諒我的遲疑。》~
@38081  = ~I must insist on some verification of your identity. I must be sure.《我堅持一定要見到能證明你身份的東西。我一定要百分之百確定才可以。》~
@38082  = ~And what if you turn out to be some cutthroat in disguise? Can I trust you?《萬一你是假扮的殺手呢？我能相信你嗎？》~
@38083  = ~Of course, sire. Forgive my cautious nature.《是的，先生。請原諒我的盤查。》~
@38084  = ~I must insist on some verification of your identity. I must be sure.《我堅持一定要見到能證明你身份的東西。我一定要百分之百確定才可以。》~
@38085  = ~And what if you turn out to be some cutthroat in disguise? Can I trust you?《萬一你是假扮的殺手呢？我能相信你嗎？》~
@38086  = ~Despite all you and our former ranger have done for us... you are no longer welcome within our village. It... it is a pity. I wish you all well.《雖然你和我們前任遊俠為我們做了許多事……但現在，這裡不再歡迎你們。非常遺憾。祝你們一切順利。》~
@38087  = ~Greetings, my <PRO_LADYLORD> ranger. I trust all goes well in your cabin and your adventures elsewhere? Feel free to come and go as you like, of course.《歡迎，遊俠<PRO_LADYLORD>。我相信你的小屋狀況良好，還有，你們在各地的冒險如何呢？》~
@38088  = ~Caution must give way to action eventually, <PRO_GIRLBOY>. Worry all you wish, but bring the child now or all is lost.《再怎麼盤查，最後還是得有所行動。儘管你有你的擔心，但最好立刻把孩子帶給我，以免一切都太晚了。》~
@38089  = ~Caution must give way to action eventually, <PRO_GIRLBOY>. Worry all you wish, but bring the child now or all is lost.《再怎麼盤查，最後還是得有所行動。儘管你有你的擔心，但最好立刻把孩子帶給我，以免一切都太晚了。》~
@38090  = ~Have you no instincts? Do you serve the Order without your heart's guidance? Bah, I have no time for doubters. Be swift and bring my goddaughter.《你沒有判斷的直覺嗎？你難道沒有奉獻真心為騎士團服務嗎？嘖，我沒有時間好浪費了，快點把我養女帶過來。》~
@38091  = ~Have you no instincts? Do you serve the Order without your heart's guidance? Bah, I have no time for doubters. Be swift and bring my goddaughter.《你沒有判斷的直覺嗎？你難道沒有奉獻真心為騎士團服務嗎？嘖，我沒有時間好浪費了，快點把我養女帶過來。》~
@38092  = ~Well? Is she coming down or is she not? I do not have all night to waste.《怎麼？她到底要不要下樓？我可沒有時間跟你耗上整晚。》~
@38093  = ~Well? Is she coming down or is she not? I do not have all night to waste.《怎麼？她到底要不要下樓？我可沒有時間跟你耗上整晚。》~
@38094  = ~What now? Is he finally here? Can I go?《怎麼？他終於來了嗎？我可以走了嗎？》~
@38095  = ~Yes, he is here. Go downstairs and he shall take custody of you.《是的，他來了。到樓下去，他會保護你離開。》~
@38096  = ~Wandering Horror《恐怖游霧》~
@38097  = ~He is, though I would appreciate it if you could positively identify him for me.《是的，他來了。但是我希望你能夠幫我指認他的身份。》~
@38098  = ~At last. His place will be little better, but at least I'll be away from the Order. What a bunch of stiffs.《終於！就算他家沒有好到哪裡去，至少也比跟你們騎士團混在一起好。真是一群死腦袋的傢伙。》~
@38099  = ~Greetings, my <PRO_LADYLORD> ranger... I trust you have already been approached by the forest spirit? I am afraid there is little that I can do.《歡迎，遊俠<PRO_LADYLORD>……我想你曾遇見森林精靈吧？我想我能效勞的地方不多。》~
@38100  = ~Figurine《小雕像》~
@38101  = ~The spirit spoke of Lord Igen Tombelthen of Athkatla. He claims an ancestor left a cache of mithral in the west... He intends to tear the land apart to find it.《精靈提過阿斯卡特拉的伊根·湯貝爾森爵士。他說他的祖先在西方藏了極貴重的秘銀……為了找那樣東西，他打算把那片土地翻過來。》~
@38102  = ~We have lived in peace with the spirits of the forest... I am afraid what this lord might do. Do you... intend to stop him, my <PRO_LADYLORD>?《長久以來，我們和森林的守護精魂一直相安無事……我怕領主的舉動會破壞我們的關係。你能夠幫我們阻止他嗎？》~
@38103  = ~I will do what I can, Minister.《我會盡我所能，鎮長。》~
@38104  = ~I will cut him to ribbons if he doesn't stop this nonsense.《如果他再不停止這種瘋狂的舉動，我會把他撕成碎片。》~
@38105  = ~No, I have no intention of doing anything of the sort.《不，我沒有興趣管這件事。》~
@38106  = ~That is good... I am very relieved. Lord Igen is currently in the same area as those... that Shade Lord was earlier. I suggest you go quickly.《太好了……我鬆了一口氣。伊根領主現在所在的地方是影之王之前的地盤。我建議你動作要快。》~
@38107  = ~That is... a little more than I expected, my <PRO_LADYLORD>. But, I suppose you are correct... Lord Igen must be stopped, no matter what occurs.《這……倒是在我意料之外，<PRO_LADYLORD>。不過，我想你是對的……無論如何，伊根領主一定得停止他的破壞行動。》~
@38108  = ~But... be careful, my <PRO_LADYLORD> ranger. You must adhere to a code of conduct, no? I would not want you to become a fallen ranger on my account.《可是……要小心啊，遊俠大人。你必須守住行為守則好嗎？我不希望你為了我而變成墮落遊俠。》~
@38109  = ~Go swiftly, then, and be safe... Lord Igen is in the land that the Shade Lord was in until recently... to the west.《快去……要小心……伊根領主目前是在影之王的地盤，往西邊走就可以看到。》~
@38110  = ~But... you cannot simply stand idly by! You... you are a ranger, my <PRO_LADYLORD>! Have you... have you not already told this spirit you would do this?《可是……你也不能呆呆站在這裡！你可是遊俠啊！你不是……你不是告訴精靈，你會伸出援手的嗎？》~
@38111  = ~Regardless, I intend to do nothing. And I never agreed to perform any duties for you, remember?《不管你怎麼說，我不打算管。我沒說過要幫你，記得嗎？》~
@38112  = ~Very well... I will keep my word. This time.《好……這次我會遵守諾言。》~
@38113  = ~Of course you are right, Minister... please forgive me.《你是對的，鎮長……請原諒我。》~
@38114  = ~As... as you say, my <PRO_LADYLORD>. The Lord Igen is in the lands to the west of here... in the area once occupied by that Shade Lord. Be... be careful.《如你所言，伊根領主的所在地離這裡不遠，往西走就到了……那裡原本是影之王的地盤。小心點。》~
@38115  = ~Then... then you are unworthy to be the ranger of our village! By Mielikki, I've never seen a ranger of your sort! How you are not fallen is beyond me!《你不配當我們村子的遊俠！我從沒見過像你這樣的遊俠！我一點也不想知道你是怎麼墮落到如此地步的。》~
@38116  = ~Go, then, and leave us be. The cabin is no longer yours, my <PRO_LADYLORD>. We will find another ranger who believes in their duty.《滾吧，我們不想再見到你。這間小屋不再屬於你。我們會再找另一個遊俠，一個尊重自己職責的遊俠。》~
@38117  = ~Go, my <PRO_LADYLORD> ranger! Go to the lands in the west and aid the forest spirit, as you have promised!《快走，遊俠！快到西方的土地上幫助森林精靈，遵守你的承諾！》~
@38118  = ~I am grateful, <CHARNAME>, that you sent away Lord Igen without bloodshed. I could not be more pleased than to have you as our ranger.《我很欣慰，你竟然在沒有流一滴血的情況下，趕走了伊根領主。有你當我們的遊俠是我們的榮幸。》~
@38119  = ~It is too bad you had to resort to violence with Lord Igen... but at least the sacred land of the forest spirit has been preserved. I am grateful, <CHARNAME>.《很遺憾，你和伊根領主發生衝突……還好森林精靈的住處沒有被破壞殆盡。我很感激你。》~
@38120  = ~It is a relief to see you, my <PRO_LADYLORD> ranger... Delon is safe? We are in danger, <CHARNAME>. Ogrons have come down from the hills to attack the village.《看到您真是讓我鬆了一口氣，遊俠<PRO_LADYLORD>……戴倫沒事吧？我們有麻煩了，<CHARNAME>。魔獸人們突然下山攻擊我們的村莊。》~
@38121  = ~Madulf has kept his promise and kept them from crossing the river, until now. I believe things go badly for the ogre, however...《馬道夫遵守諾言，試著不讓他們渡河而過，直到現在才失守。我想食人魔那兒的狀況可能不大妙啊……》~
@38122  = ~We would already have been attacked... but that ogre, Madulf, and his followers drove the ogrons back briefly... although I fear things go badly for the ogre...《我們一開始就受到了攻擊……但是隨後馬道夫和他的手下短暫地擊退了魔獸人。但是我怕現在食人魔那兒可能出了狀況……》~
@38123  = ~The ogron band is collected outside of the cave... on the north shore of the river. I beg of you, <CHARNAME>... please deal with this menace!《魔獸人聚集在河北邊的洞穴外。請求你幫我們解除這個威脅！》~
@38124  = ~...he is trapped in a cave with one of our shepherd boys, Atta, who wandered into the area. Madulf scooped the boy up and took refuge in the cave.《……他和一個牧羊童阿塔被困在洞穴中，牧羊童剛好跑進這個區域。馬道夫出面保護兩個男孩，洞穴成為他們的避難所。》~
@38125  = ~The boy must be saved, <CHARNAME>... and Madulf must not die in vain! Please... deal with this menace, I beg you! Or we will all be forced to flee our village!《一定要救出男孩……馬道夫不能白白犧牲！求求你……幫我們解決這個危機！否則我們得離開這裡，另覓住處。》~
@38126  = ~...the fighting has driven him back into a cave. Rescue him, <CHARNAME>, and deal with this menace... or the whole village must flee for our lives!《……先前的戰鬥讓他又躲回洞穴中。快去救他，幫忙解決這個危機……否則我們得離開這裡，另覓住處。》~
@38127  = ~Yes, he is, but this is too convenient for my tastes. Something could be wrong.《是的，他來的。但是這好像進行的太順利了些，其中或許有問題。》~
@38128  = ~I have no desire to fight ogrons... deal with this yourselves.《我沒有意思要和魔獸人作戰……這問題你自己去解決吧。》~
@38129  = ~Very well, Minister... I will do what I can.《好，村長，我會盡我所能。》~
@38130  = ~No, I killed the bastard. This was too easy, so I figured he was lying. 《不，我殺了那個混帳。這件事進行的太順利了，所以我猜他一定是在說謊。》~
@38131  = ~But... but, <CHARNAME>! You are our ranger! You... you must help us out—we are in desperate need!《可是……你是負責保護我們的遊俠！你一定要幫我們，我們急需要你幫我們解除危機！》~
@38132  = ~That's too bad. I'll be going now.《太糟了。我馬上出發。》~
@38133  = ~Farsight《遠視術》~
@38134  = ~Very well... I'll see what I can do.《好……我會盡力。》~
@38135  = ~Farsight
(Divination)

Level: 4
Range: Special
Duration: 3 rounds + 1 round/level
Casting Time: 4 
Area of Effect: Special
Saving Throw: None 

When Farsight is cast, the caster is able to view an area of an unexplored map. After casting the spell, simply click on a section of the map that you want to view. For the duration of the spell, the caster can spy on that area, noting creatures and fortifications.《遠視術（預言系）
等級：4
有效距離：特殊
持續時間：3輪+1輪/每等級
施法時間：4
影響範圍：特殊
豁免檢定：無

施行遠視術時，施法者能夠檢視某個未探索地圖上的區域。只要在施法結束後按一下調檢視的地圖區域即可。至於法術的持續時間、可檢閱區域時間的長短則要視怪物及防禦工事的情況而定。》~
@38136  = ~I had to kill him. There was something about his manner that I did not trust.《我得要殺了他。他的舉手投足都讓我覺得無法信任
。》~
@38137  = ~Of course you are right, Minister. I will help, if I can.《你說的對，村長。我會盡力幫忙。》~
@38138  = ~The village would be grateful, <CHARNAME>... Go, then... the cave is on the north shore of the river. I... I do not know how many ogrons there are... Good luck.《村民會很感激你，快去吧……洞穴就在河對岸，往北走。我不知道那裡有多少魔獸人……祝你好運。》~
@38139  = ~How do I do that, hmm? I've haven't seen him since I was born. You're the protector here, so is it safe to go downstairs or not? Make up your mind.《我要怎麼認人，嗯？我打出生後根本就沒有見過他。你是這邊的保鏢，現在下樓究竟安不安全？快點決定啊。》~
@38140  = ~I am most relieved! Go, <CHARNAME>... the cave is on the north shore of the river! I do not know how many ogrons there are, but I wish you well.《太好了！快出發吧……洞穴就在河對岸，往北邊走！我不知道那裡有多少魔獸人……祝你好運。》~
