@12561  = ~~ [MINER06]
@13155  = ~History of Shadowdale—Elminster Moves to Shadowdale: 

It is of note that during the time that Doust Sulwood of the Knights of Myth Drannor assumed the role of Lord of Shadowdale, Elminster took up residence in the area. A semi-regular visitor up to that time, he took possession of a low, abandoned tower at the foot of the Old Skull, and declared himself to be officially in retirement. The nature of that retirement varies from active involvement in local affairs to long-term vacations on other planes. The natives of the Dale have come to the understanding that they cannot always count on the powerful mage being in residence in times of need or danger, but when he is present in these circumstances his aid is usually given.~
@13156  = ~History of Shadowdale—Doust Chooses Mourngrym Amcathra to Succeed Him: 

Doust Sulwood, recommended to the position by Khelben Blackstaff, ruled Shadowdale as lord for five years. "Seems like a millennium," he was oft known to have reported, and the tedium of court life and the lure of adventure eventually caused him to retire his position and rejoin the Knights of Myth Drannor in regular adventuring. He handed the Pendant of Ashaba (symbol of the Lordship) on to one of the younger Knights, a Waterdhavian noble named Mourngrym Amcathra. Mourngrym had been dispatched by Khelben from Waterdeep for other purposes, but Doust liked both the young man's straightforward honesty and his willingness to shoulder the burden of protecting the small community from myriad dangers. Time has proven this choice a wise one.~
@13157  = ~History of Shadowdale—Shaerl and Mourngrym Meet and Marry: 

The implications of Khelben "Blackstaff" Arunsun "choosing" the last two lords of Shadowdale (Doust Sulwood and Mourngrym Amcathra) were not lost on the Dale's powerful neighbor to the south, Cormyr. An agent was sent northward to divine Mourngrym's true intentions and to guarantee the Dale's continued good relationship with the throne of the Purple Dragon. The agent was a rogue named Shaerl Rowanmantle, sent by Vangerdahast (though all paperwork on this matter has been curiously incinerated in Suzail, so all is hearsay and tale). Shaerl discovered more than she intended and fell in love with young Mourngrym. The two married and became the lord and lady of Shadowdale. Shaerl's loyalty is now to her husband and to the land they co-rule. This was probably not the intention of the Cormyreans.~
@13158  = ~History of Shadowdale—Mourngrym's Rule:

Since being recommended to the position by outgoing Lord Doust Sulwood, Lord Mourngrym Amcathra's rule of Shadowdale has been less peaceful than he had hoped. The First Battle of Shadowdale occurred in the Year of the Prince (1357 DR), and involved Daleland forces routing those of Lyran the Pretender. Lyran has made repeated attempts to gain the Lordship, as was intended by the former Zhentish puppet, Lord Jyordhan. While significant, this battle pales when compared to the larger battle fought on the same site between Bane-led Zhentil Keep forces and the Dales during the Time of Troubles (1358 DR/0 PR). When the Battle of Shadowdale is referred to (without a number), it usually means this second battle. In addition, Mourngrym has had to deal with a large number of skirmishes, incursions, a possible invasion from below, explosions, and other sundry disasters. 

Mourngrym and Shaerl have one child, Scotti, who is now nine winters old. By the customs of the area, he is not considered the heir apparent, and another suitable warrior or mage may take the reins of power of the small community. Most feel that Mourngrym will hold the Pendant until his son has reached his maturity, then abdicate in young Scotti's favor once he takes his grown name. If this happens, it will be the first occasion of the lordship of Shadowdale passing down through a family.~
@13159  = ~History of Tethyr:

For the past 1500 years, Tethyr has had a single, strong royal family ruling with absolute power. When a king died or became incapacitated, his oldest son took the throne. As the family trees of those close to power became more intertwined and complicated, there were the inevitable wars of succession and bickering over which second cousin was the "true" heir to the throne. Civil wars were brief, however, and once the fighting was over the system returned to normal (until the next major dispute in a few hundred years or so).

The established recurring cycle was broken 10 years ago. The current ruling family had been in power for over 350 years, so long that they had dropped their own family name centuries ago (no one even remembers it now) and simply called themselves Tethyr. King Alemander IV was comfortably ruling from Castle Tethyr, and the country seemed happy enough, but there was a broad current of dissatisfaction among the people of Tethyr. Non-humans were forbidden by law to own land, and since most rights and privileges accorded citizens were based on land ownership, they became second-class citizens as well. Things were especially bad for elves, who were driven deep into the Forest of Tethir by royal armies. Alemander IV took land away from rightful owners and gave it to nobles who promised larger contributions to the royal treasury. These social and economic inequities, coupled with several harsh winters and bad harvests in a row, made the time ripe for a change.

It takes more than just a couple of lousy winters to depose a king however; it takes treachery as well. In the case of the fall of House Tethyr it took an ambitious general and an impatient royal heir. Prince Alemander grew tired of waiting for the robust Alemander IV to make room for him, so he struck a deal with General Nashram Sharboneth, commander of the king's largest army. While Sharboneth marched his army toward Tethyr, bringing along a sizable group of angry peasants recruited with the promise of land reform, the would-be Alemander V downplayed alarming reports from the king's spies and advisors, silencing the most persistent permanently through murder or exile. By the time Sharboneth's army arrived and laid siege to Castle Tethyr, it was too late for loyalists to help.

As Sharboneth launched a direct assault on the castle (using the expendable peasants as shock troops), a handful of elite soldiers let in a secret entrance by the prince would eliminate key guards and open the gates. At the same time, the prince (one of the few people allowed to see the king directly) would murder his father. A fire set by the elite troops would destroy evidence of treachery; the general and the prince would emerge from the conflagration and announce a new, joint government.

The plan was executed perfectly, but only up to a point. Sharboneth double-crossed the prince; his men were much too efficient in setting the castle ablaze, and Prince Alemander (along with most of his fellow conspirators) died horribly in the fire. At about the same time, a spy planted on the general's inner staff by the equally duplicitous Alemander murdered the general and dissolved his body with a powerful acid before anyone could come to his aid.

To make matters worse, everyone had underestimated the resentment the people felt for the royal family. Once Castle Tethyr began to fall, there was no holding back the mob. In one night, the proudest, strongest castle in all the country was reduced to a smoking ruin. Everything of value—fine tapestries, plates and silverware, furniture, jewelry, weapons, clothes, armor, paintings, statues, etc.—was either stolen, burned, or just ripped apart and stomped into the dust.

As news of the fall of the royal family spread, so did the chaos. In what is now known as the "Ten Black Days of Eleint," anyone known (or even suspected) of blood connection to the royal family was put to the sword. This led to some darkly humorous moments, as social climbers who had bragged just a week before of being a sixth cousin twice removed of a royal aunt tried in vain to convince an angry mob that they were "only kidding."

The nobles who were the biggest supporters of the royal family also came under attack, and some baronial keeps fell. Local leaders who had adequately distanced themselves from the Tethyr family, or were popular enough (or feared/strong enough), survived. These surviving nobles became the initial players in the fight to decide the fate of Tethyr.

One thing was certain; any leader or type of government that too closely resembled rule under the Tethyrs would not be accepted. "Royalist" became a dirty word in Tethyr society. The power struggle continues to this day, and there is no sign of it ending anytime soon.~
@13160  = ~History of the Bell in the Depths: 

One of the great and mysterious sites in the Moonsea area, the Bell in the Depths, is connected with legendary Northkeep, an island kingdom that was the first great citadel of humankind in these cold lands. Northkeep was a great and magical city, and it was under the protection of these magics that humanity first began to press back the orc hordes and take command of the sea.

The power of Northkeep made it an obvious target for orcs, giants, and other evil races. However, these creatures were not inclined towards sea actions, and Northkeep seemed safe until the day when (according to legend) 40,000 inhuman mages, shamans, witch doctors, and priests of all foul races gathered on the northern shore of the Moonsea and began to chant, bringing the vengeance of their gods down upon the human interlopers. The gods (at least some of them) came and destroyed their priests for disturbing them, but also sank Northkeep beneath the waves.

The upper reaches of Northkeep—its slender, now-broken spires—can be seen beneath the water by boats that sail nearby. This is not attempted often, however, as the region is said to be haunted by the original defenders of Northkeep, seeking company in their watch over the Cold Lands. On fog-ridden nights the bells of the tallest towers, despite being submerged, can be heard as far away as Hillsfar.~
@13161  = ~History of the Chosen of Mystra: 

The reason why Mystra, the Goddess of Magic, invested a portion of her divine might in mortals is not known. One of the more popular theories, and one that is gaining more support in light of the goddess' other actions during that period, is that Mystra foresaw the Time of Troubles (and her own passing at the hands of Helm) and chose to give some of her power to mortals in order to ensure that her successor (the female mage Midnight, as it turned out) would have a number of nearly immortal allies in the struggle against the schemes of the gods (the now dead Bane, Myrkul, and Bhaal) who precipitated the Time of Troubles by stealing the Tablets of Fate. The theory goes on to suggest that Mystra informed Azuth at approximately the Year of the Rising Flame (0 DR), more than 1,300 years before the Time of Troubles, that some of her power must be put into the hands of mortals who would then become known as Mystra's Chosen. This power would sleep within the bodies of those mortals, allowing Mystra to call on it only with their permission. It would give the Chosen the innate ability to heal quickly, and would give them life spans far greater than those of ordinary mortals. Mystra speculated that these mortals might be able to call on her power and thereby gain some special abilities, but that these powers would not rival those of a deity. (See "Powers" below.) 

The Goddess of All Magic then began to select mortals she thought to be suitable. One of the first was the young mage Elminster, and she also singled out a promising wizard named Khelben Arunsun. Both have proved to be worthy and capable receptacles of her power, but Mystra's other early attempts to invest her power in living humans were unsuccessful, and she came to realize that only very few mortals were of stern enough substance to contain such power within themselves without being destroyed or corrupted. Even though some people aside from Elminster and Khelben may have possessed the requisite strength, it is possible that having lived for years prior to being visited by Mystra had set them on a path from which they were not able to deviate. Whatever the reason, the problem needed to be solved. To get around the difficulty, Mystra devised a plan to use herself as a vessel to breed individuals who could be nurtured and acclimated to her power from the very beginnings of their lives. 

For the father of these individuals, she picked the best example of human stock she could find: Dornal Silverhand, a nobleman and a former Harper who lived near Neverwinter. Mystra then possessed the body of Elue Shundar, a half-elven sorceress whom Dornal was already attracted to. Mystra revealed her presence and her plan to Elue, who happily and eagerly agreed to have the goddess share her body. Elue had been reluctant, but under the influence of Mystra the woman became a seductress, and Dornal found his advances being suddenly returned with great fervor. 

Dornal and Mystra/Elue were wed in the Year of Drifting Stars (760 DR). The first of seven daughters, Anastra Sylune, was born the following winter. Sylune's six sisters emerged at one-year intervals thereafter: Endue Alustriel, Ambara Dove, Ethena Astorma (she prefers the shortened "Storm" these days), Anamanue Laeral, Alassra Shentrantra (known today as the Simbul), and Er'sseae Qilue. These siblings have become known in Realmsian lore as the Seven Sisters. 

Dornal, who had been kept in the dark about his wife's true nature through the years (presumably because Mystra didn't want to risk losing his services), was disappointed and nearly distraught by the time his sixth child was born; he had always wanted sons as well as daughters. More importantly, he was seeing his wife deteriorate right before his eyes. The strain of coexisting with the goddess all these years had turned Elue into a withered shell—in essence a lich, clinging to life only because Mystra's power was within her. 

When Elue was carrying the seventh child, Dornal consulted a priest who told him his wife had been possessed by an entity of great magical power. To spare both of them any further agony, he attempted to slay his wife's physical form by severing her head from her body. 

As soon as he had done this, Mystra was forced to reveal herself to him, and she went on to explain her scheme. Just as she had worried would happen, Dornal was aghast at how he and his wife had been used by the goddess. He turned his back on the corpse of his wife, abandoned his lands and his children, and vanished into the North. Mystra bore him no ill will, and in fact protected him for the final 30 years of his life. When Dornal finally did meet his end he called out to Mystra, and the goddess granted him continued existence as her servant. Now known as the Watcher, Dornal Silverhand travels the world unseen by mortals on a continuing mission to locate candidates to swell the ranks of the Chosen and to identify possible threats to Mystra and her minions.~
@13162  = ~History of the Dales and the Elven Court: 

The founding of the Dalelands long preceded the creation of any of the existing Dales by hundreds of years, and the year numbering system known as Dalereckoning is actually a commemoration of humankind being given permission to settle in the lands north and west of the Inner Sea. Most of the current Dales are relative newcomers, the older having been abandoned, destroyed, or overrun long ago. In those ancient days, when Suzail and Chondathan (now called Saerloon) were mere coastal trading posts, the elves who ruled this forest entertained a request from settlers from the East; refugees and farmers from far-off Impiltur and Damara. This request was to farm and settle the borders of the great forest Cormanthor, in particular the rich delves and dales along the rivers Arkhen and Ashaba. These newcomers did not wish to lumber or clear the inhabited forest, but only to settle on the rich territories on its edges, and unlike some other settlers (early Sembia comes to mind) were willing to ask permission. 

The lords of the Elven Court granted that request in return for aid from these new Dalelanders against outside aggression, both monstrous (orcs and goblins from the lands of Thar) and human (the rising powers in Cormyr and Sembia). In commemoration of this pact, humans and elves raised the Standing Stone that is now seen where the Moonsea Ride reaches Rauthauvyr's Road, the road from Essembra to Hillsfar. It is from the date of the raising of this stone that Dalereckoning is counted. According to the pact made, the Dalesmen would only settle those regions that were unforested or unclaimed by the elves. As the elven woods receded under the axes of further invaders and settlers, old Dales perished and new ones came into being along the borders of the woods. People, both good and bad, have raised petty nations in the Dalelands since, though any one Dale that turned against the pact would have to deal with the others. Each of the Dales is a large swath of farms and fields, with a few scattered settlements and usually one central marketplace, capital, or Dale center. These centers are often, but not always, named after the Dales they are in, adding to the confusion as to what is a Daleland's territory. 

The Dales are not city-states, for their largest groupings of population rate as towns at best, and they lack the defensive walls common throughout the Heartlands. They are neither true nations in the fashion of Cormyr or Sembia, and occupy a gray middle ground wherein they are nothing more, or less, than Dales. 

Each Dale has slightly different laws, customs, and military organizations. Many rely on the work of charismatic heroes and adventuring companies for aid in times of trouble, and a large number of these individuals use the region as a base. This attraction for adventurers is further increased by the large number of elven and pre-elven ruins in the area and the departure of the Elven Court for Evermeet, leaving the woods open for exploration and exploitation. 

The history of the Dales is filled with battles and attacks on its various members. In the Year of the Worm (1356 DR), Scardale, under the command of Lashan Aumersair, launched a number of swift attacks, conquering a number of the surrounding Dales. A coalition of forces from the others, as well as Sembia, Cormyr, and Zhentil Keep crushed the invaders and occupied Scardale. During the Time of Troubles (1358 DR/0 PR), Shadowdale was attacked by Zhentil Keep. More recently, the Dalelands have committed forces to a unified army under King Azoun IV of Cormyr to turn back the Tuigan Invasion (1360 DR). 
 ~
@13163  = ~History of the Dead Three: 'KNUCKLEBONES, SKULL BOWLING, AND THE EMPTY THRONE' 

In ages past there was but one god of strife, death, and the dead, and he was known as Jergal, Lord of the End of Everything. Jergal fomented and fed on the discord among mortals and powers alike. When beings slew each other in their quest for power or in their hatred, he welcomed them into his shadowy kingdom of eternal gloom. As all things died, everything came to him eventually, and over time he built his power into a kingdom unchallenged by any other god. Eventually, however, he grew tired of his duties for he knew them too well. Without challenge there is nothing, and in nothingness there is only gloom. In such a state, the difference between absolute power and absolute powerlessness is undetectable. 

During this dark era, there arose three powerful mortals—Bane, Bhaal, and Myrkul—who lusted after the power Jergal wielded. The trio forged an unholy pact, agreeing that they would dare to seek such ultimate power or die in the attempt. Over the length and breadth of the realms they strode, seeking powerful magic and spells and defying death at every turn. No matter what monster they confronted or what spells they braved, the three mortals emerged unscathed at every turn. Eventually the trio destroyed one of the Seven Lost Gods, and they each seized a portion of his divine essence for themselves. 

The trio then journeyed into the Gray Waste and sought out the Castle of Bone. Through armies of skeletons, legions of zombies, hordes of noncorporeal undead, and a gauntlet of liches they battled. Eventually they reached the object of their lifelong quest—the Bone Throne. 

"I claim this throne of evil," shouted Bane the tyrant. "I'll destroy you before you can raise a finger," threatened Bhaal the assassin. "And I shall imprison your essence for eternity," promised Myrkul the necromancer. 

Jergal arose from his throne with a weary expression and said, "The Throne is yours. I have grown weary of this empty power. Take it if you wish—I promise to serve and guide you as your seneschal until you grow comfortable with the position." Before the stunned trio could react, the Lord of the Dead continued: "Who among you shall rule?"

The trio immediately fell to fighting amongst themselves while Jergal looked on with indifference. When eventually it appeared that either they would all die of exhaustion or battle on for an eternity, the Lord of the End of Everything intervened. "After all you have sacrificed, would you come away with nothing? Why don't you divide the portfolios of the office and engage in a game of skill for them?" asked Jergal. 

Bane, Bhaal, and Myrkul considered the god's offer and agreed. Jergal took the heads of his three most powerful liches and gave them to the trio that they would compete by bowling the skulls. Each mortal rolled a skull across the Gray Waste, having agreed that the winner would be he who bowled the farthest. 

Malar the Beastlord arrived to visit Jergal at this moment. After quickly ascertaining that the winner of the contest would get all of Jergal's power, he chased off after the three skulls to make sure that the contest would be halted until he had a chance to participate for part of the prize. Bane, Bhaal, and Myrkul again fell to fighting as it was obvious their sport was ruined, and again Jergal intervened. "Why don't you allow Lady Luck to decide so you don't have to share with the Beast?"

The trio agreed, and Jergal broke off his skeletal finger bones and gave them to the players. When Malar returned from chasing the skulls, he found that the trio had just finished a game of knucklebones.

Bane cried out triumphantly, "As winner, I choose to rule for all eternity as the ultimate tyrant. I can induce hatred and strife at my whim, and all will bow down before me while in my kingdom."

Myrkul, who had won second place, declared, "But I choose the dead, and by doing so I truly win, because all you are lord over, Bane, will eventually be mine. All things must die—even gods."

Bhaal, who finished third, demurred, "I choose death, and it is by my hand that all that you rule Lord Bane will eventually pass to Lord Myrkul. Both of you must pay honor to me and obey my wishes, since I can destroy your kingdom, Bane, by murdering your subjects, and I can starve your kingdom, Myrkul, by staying my hand."

Malar growled in frustration, but could do nothing, and yet again only the beasts were left for him. 

And Jergal merely smiled, for he had been delivered. ~
@13164  = ~History of the Dragon Coast:

The history of the Dragon Coast is the history of money, particularly the darker side of the coin. Situated on the main trade routes between the Inner Sea and the Sword Coast, these lands never coalesced into a solid, coherent nation, like Cormyr or Sembia. Instead small petty city-states have risen and fallen, powered by greed and the most powerful merchant or pirate faction of the day.

As a result, the Dragon Coast has always been the home of the smuggler, the pirate, the rogue, and the hired killer. It has been the place where those seeking to skirt the laws of more civilized nations to the north make landfall. It is here that the Red Wizards gain their access to the Western Heartlands and where the Cult of the Dragon launches its plots to the south. And it is here that independent secret societies and assassin guilds have their greatest power.

The last semblance of organized resistance to this trend was the reign of Verovan, last of the kings of Westgate. The monarchy of Westgate had long worked closely with the various mercantile and pirate factions, but Verovan attempted to stem the growing power of the merchant houses and petty lords. His sudden and mysterious death without acceptable heirs in 1248 DR opened the door for much of what now is commonplace in the Dragon Coast—corruption and treachery.

It should be noted that while Verovan's name is still venerated in these lands, better known is Immurk, the greatest of the Inner Sea Pirates, a brash and flamboyant rogue who united a pirate fleet beneath him and ruled from 1164 DR to his death in 1201 DR. Such it is in the Dragon Coast, that good people are venerated, but the power of darker rogues is imitated.~
@13165  = ~History of the Drow, The Descent: 

We know very little of the Ilythiiri, or "elves of the South," before this crucial event. Even then they were known as "dark elves," for the hue of their skins. They dwelt in the jungles and hot forests of the South. A proud, warlike, culturally advanced (some sages of other elven peoples say "decadent") folk, the Ilythiiri attacked all neighbors, including other elven tribes. Their cruel raids and depredations, ordered by warlike nobility and the clergy of their two cruel deities, Ghaunadaur and Lolth, forced elves, humans, dwarves, and others to ally against them. 

Defeated in a series of titanic magical battles, the dark elves fled into underground warrens they had earlier discovered. This event, known as "the Descent," marked the end of the drow as a surface-dwelling race.~
@13166  = ~History of the Drow, The Dark Wars: 

The warlike drow nature did not change when they escaped their surface foes during the Descent. In fact, they immediately launched a series of wars to establish territories in the Underdark. They began by stealing and seizing dwarven magical items and using them against the dwarves—establishing an enmity that is still strong today.

The drow then fought among themselves, noble against noble, priest against priestess, for rule of their new realm. This all-out war ended amid great magical explosions that brought down the roof of the largest dwarven cavern they had seized, great Bhaerynden. The ceiling collapsed entirely, burying many drow and the shattered dwarven cities. The cavern, now open to the sky, became known as the Great Rift. The surviving drow nobles gathered what people, slaves, and equipment they could seize and fled into the Underdark in search of places to dwell. "The Scattering" brought about the many rival, self-interested cities where most drow live today.~
@13167  = ~History of the Fateful Coin:

Old tales tell that luck plays a crucial role in each person's life. When each newborn baby enters into the realms, Tymora flips a coin formed from the remnants of the original goddess of luck, Tyche. Beshaba calls it in the air—the moon (heads) or the cloak (tails). If Beshaba is right, that person is cursed with misfortune for the rest of his or her days. If she's wrong, Lady Luck smiles on that child for the rest of his or her life. For some rare beings, the coin lands edge on—and these luckless few can forge their own fates, for they have more freedom over their destinies than the powers themselves.~
@13168  = ~History of the Last March of the Giants: 

East of the Great Rift in the Eastern Shaar once stood a land of the titans. This empire rose at the dawn of time in Faerûn, and its lords thought to challenge the gods in their arrogance. In punishment, the powers cursed the reigning monarch of the land with fascination and his brethren with devotion. The powers then dropped a star onto the land. The impact of the fallen star created a huge valley later known as the Sea of Fallen Stars. Slowly picking up speed, the ball rolled through the titan nation and onward to the south. 

Unable to contain his curiosity, the titan king ran off after the bouncing sphere and his devoted followers dutifully followed his tracks. The meteorite rolled on and on until it reached the Great Sea and vanished into the depths. The monarch dove into the sea, and, lemminglike, the entire titan race dove in after him, never to be seen again. 

Ashamed at the destruction they had wrought, the powers vowed to keep both curiosity and loyalty firmly in check to avoid such disasters in the future. They have done so to this day, preventing both new ideas from being pursued with any speed and the intelligent races of Toril from ever fully cooperating.~
@13169  = ~History of the Moonsea: 

The Moonsea has a long history as the border between the elven lands to the south and the darker, more sinister lands of the Ride and Thar, home of dragons and giant and ogre tribes in great multitudes. The deep sea was an excellent barrier to the raiders, as those tribes who sought invasion had to detour around and through the lands that would eventually hold Yulash, Zhentil Keep, and Hillsfar. 

The first true settlement in Moonsea was Northkeep, a shining citadel established as a beacon of civilization and a jumping-off point for merchants seeking trade with the dwarves of the North—including not only Tethyamar, but the clans of the Cold Lands—who traded their metalwork and craft for much-needed magic. In the end, Northkeep was sunk beneath the icy waters of the Moonsea by the inhuman forces, and humankind suffered one of many setbacks in the region. 

So has been the nature of human habitation of this region since the beginning. Human settlements thrive for a few years, usually through sheer willpower and on the strength of a sharp sword, and then are overrun by goblins, orcs, dragons, beholders, or giants. Phlan has fallen and risen again. Yulash is a ruin where a decade ago there was a thriving town. Hulburg and Sulasspryn are empty hulks. Each of the cities of the Moonsea seems threatened with extinction in its turn, then is rebuilt. 

This cycle may be the reason that only the strongest and the most savage survive, even prosper, in the lands of the Moonsea. The greatest cities—Hillsfar, Mulmaster, and the impenetrable Zhentil Keep—are all ruled by evil people who control their lands with iron grips. The lesser cities, Elventree, Phlan, and Thentia, may be less evil, but have a strong, independent, almost chaotic nature. In many ways the Moonsea is a frontier, with a frontier mentality. ~
@13170  = ~History of the North—The First Flowering: 

For millennia, gold elves dwelt in Illefarn (where Waterdeep now stands) and Eaerlann (along the River Shining). From their ornate forest cities, they traded with emerging human nations like Netheril and Illusk and repulsed the attacks of the goblin races. Meanwhile, dwarven clans united as the nation of Delzoun, named for the dwarf who forged the union. The nation, existing primarily underground, extended from the Ice Mountains to the Nether Mountains. Silver Moon Pass was its western border and the Narrow Sea its eastern shore. Orcs came from north of the Spine of the World but were turned back in great slaughter by the elves. To this day, this is the homeland and stronghold for orcs and similar races.~
@13171  = ~History of the North—The Crown Wars: 

Humans immigrated in bands from the Shining Sea and up to the Sword Coast. They became seafarers, striking out across the waves to the Moonshaes, Mintarn, Ruathym, and the northern islands. Elves engaged in an unceasing war against each other, with the humans and orcs taking over the resulting ruins. Perhaps the greatest calamity to befall the Fair Folk was the Dark Disaster, a killing magic that took the form of a dark, burning cloud. It enshrouded the kingdom of Miyeritar, and when it faded away some months later, not an elf lived—nor were trees left, only an open, blasted moor: the High Moor. 

All was not dark for the elves. Although in retreat, as barbarian humans and orc hordes grew in strength, their power rose in the Elven Court and Evereska (remaining a stronghold to this day). They conceived of cooperation between dwarves, kindly humans, and other elves for mutual survival against orcs, marauding humans, and the tide of beasts (ogres, bugbears, trolls, goblins, gnolls, and other nonhuman creatures) led by the rising power of giants. Astonishingly, in at least three places—the Fallen Kingdoms and the cities of Silverymoon and Myth Drannor—they succeeded with shining grace. 

To the east, on the sandy shores of the calm and shining Narrow Sea, human fishing villages grew into small towns and then joined together as the nation of Netheril. Sages believe the fishing towns were unified by a powerful human wizard who had discovered a book of great magic power that had survived from the Days of Thunder—a book that legend calls the Nether Scrolls. Under this nameless wizard and those who followed, Netheril rose in power and glory, becoming both the first human land in the North and the most powerful. Some say this discovery marked the birth of human wizardry, since before then, mankind had only shamans and witch doctors. For over three thousand years, Netheril dominated the North, but even its legendary wizards were unable to stop their final doom.~
@13172  = ~History of the North—Recent History of the North: 

In the waning summer months of 1367, an immense orc horde descended from the Spine of the World, intent on winding its way south into the trade lands of the North. This force of orcs, led by King Greneire, surged its way south between the Moonwood and the Cold Wood, stopping just outside the Citadel of Many Arrows. 

King Obould, orc ruler of the Citadel of Many Arrows, was terrified at the prospect of another orc horde, despite the fact that he knew they should be working together against the humans of the North and the spawn of Hellgate Keep. His tribal shamans, however, had been predicting a treacherous fall of the citadel—and they'd told the king that he'd be disposed by other orcs. 

Thus, it was a dark day when King Greneire and his horde of 150,000 orcs appeared on the plains outside the Citadel of Many Arrows. King Obould announced to his followers that this horde had been sent to dislodge them from their home and send them out to be scavengers among the plains. He vowed that, as Gruumsh as his witness, the Citadel of Many Arrows would slaughter these treacherous orcs "like elves during a festival." 

For four months, the forty thousand orcs within the citadel held their ground. Assault after assault was mounted against the high walls of the garrison, but the attacking orcs were losing far more than the defenders. Still, the living conditions within the walls—never too good to begin with—created losses of their own. 

The battle for the Citadel of Many Arrows culminated during the first week of Uktar. As another light blanket of snow sought to bury the gathered orcs, King Greneire threw his entire remaining army at the citadel, bursting its gates and pitting orc against orc in a flurry of swords. As the two orc kings sought one another out along the ramparts, the citadel began to burn. 

The orcs that survive the battle still speak of the extraordinary prowess of the two kings as they battled one another before their troops. Finally, however, King Obould ran Greneire through with his long sword, but Obould was severely wounded by the time Greneire had breathed his last breath. The orcs erupted into battle once again, and no one is quite certain what became of King Obould. 

It was through the smoke and snow that the victors of the conflict emerged: the dwarves of Clan Warcrown along with a contingent of troops from Silverymoon. Charging in through the shattered gates, these new attackers quickly routed the exhausted orcs of the citadel, sending them scurrying off into the wilderness. 

King Emerus Warcrown now rules the Citadel of Many Arrows, though the dwarves now call the city by its old name of Felbarr. Most in the North still tend to refer to the city as the Citadel, however, waiting to see if it can withstand the next orc horde. King Warcrown has put out a call for all dwarves to help defend the citadel, and news of a new vein of gold and silver is spreading rapidly through dwarven communities. ~
@13173  = ~History of the North—The Elven Exodus:

This era left behind elven strongholds ripe for pillaging by humans and orcs. When elves chose to leave the North and travel to Evermeet, their works quickly disappeared, leaving only places like the Old Road and a ruined port in the High Forest to mark Eaerlann's passing. And yet it was not only the elves who would disappear from their long-held homes; the human nation of Netheril also stood on the brink of history.

Doom for Netheril came in the form of a desert, devouring the Narrow Sea and spreading to fill its banks with dry dust and blowing sand. Legend states that when the great wizards of Netheril realized their land was lost, they abandoned it and their countrymen, fleeing to all corners of the world and taking the secrets of wizardry with them. More likely, this was a slow migration that began three thousand years ago and reached its conclusion fifteen hundred years later.

Whatever the truth, wizards no longer dwelled in Netheril. To the north, the once-majestic dwarven stronghold of Delzoun fell upon hard days. Then the orcs struck. Orcs have always been foes in the North, surging out of their holes every few tens of generations when their normal haunts can no longer support their burgeoning numbers. This time they charged out of their caverns in the Spine of the World, poured out of abandoned mines in the Graypeaks, screamed out of lost dwarfholds in the Ice Mountains, raged forth from crypt complexes in the Nether Mountains, and stormed upward from the bowels of the High Moon Mountains. Never before or since has there been such an outpouring of orcs. Delzoun crumbled before this onslaught and was driven in on itself. Netheril, without its wizards, was wiped from the face of history. The Eaerlann elves alone withstood the onslaught and, with the aid of the treants of Turlang and other unnamed allies, were able to stave off the final days of their land for yet a few centuries more.

In the east, Eaerlann built the fortress of Ascalhorn and turned it over to refugees from Netheril as Netherese followers built the town of Karse in the High Forest. The fleeing Netherese founded Llorkh and Loudwater. Others wandered the mountains, hills, and moors north and west of the High Forest, becoming ancestors of the Uthgardt and founders of Silverymoon, Everlund, and Sundabar.~
@13174  = ~History of the North—The Spread of Humankind:

The adaptable humans made use of magic they could seize or learn from the Proud Peoples to defeat all enemies, breaking (for a time) the power of giants and orcs. Waterdeep was founded. The last of the pureblood elves died out, a result of continued marriages with humans.

In the far west, men also dwelled—wise, clever primitives called the Ice Hunters. They lived simple lives on the coast since time beyond reckoning, countless generations before Netheril's first founders set foot on the Narrow Sea's western shore. Yet this peaceful folk fell prey to another invasion from the south: crude longships that carried a tall, fair-haired, warlike race who displaced the Ice Hunters from their ancestral lands.

This race, known as the Northmen, spread farms and villages along the coast from the banks of the Winding Water to the gorges of the Mirar. Northmen warriors drove the simple Ice Hunters farther and farther north, forced the goblinkin back into their mountain haunts, and instigated the last Council of Illefarn. Within five hundred years of the Northmen's arrival, Illefarn was no more—its residents had migrated to Evermeet.

From the Coast, Northmen sailed westward, claiming and establishing colonies on the major western islands of Ruathym and Gundarlun, eventually spreading to all the islands in the northern sea. Others migrated northward, past the Spine of the World, and became the truly savage barbarians of Icewind Dale.

In the centuries that followed, Ascalhorn became Hellgate Keep when it fell into the hands of fiends, and Eaerlann collapsed under the attack of a new orc horde. The elves fled southeast, joining with Northmen, Netherese descendants, and dwarves to form what would later be known as the Fallen Kingdom. This realm was short-lived and collapsed under the next orcish invasion—though in dying, it dealt the goblin races a blow from which they have yet to recover.~
@13175  = ~History of the North—The Might of Men: 

