// creator : C:\Users\Chelif\AppData\Local\NearInfinity\app\NearInfinity.jar (v2.4-20260111)
// game    : H:\SteamLibrary\steamapps\common\Baldur's Gate II Enhanced Edition
// dialog  : lang\en_US\dialog.tlk
// dialogF : (none)

@0      = ~<NO TEXT>~
@1606   = ~Can't say that I have, sorry. Anything else?~
@1607   = ~Jaheira? Why didn't you say so? Ask again, friend; you'll find me more cooperative. You were looking for Belgrade? You won't find him, I'm sorry to say.~
@1608   = ~Trap Not Disarmed~
@1609   = ~Moved on, has he? Do you know where to find him?~
@1610   = ~He's hiding out somewhere? Any way I can get a message to him?~
@1611   = ~You seem awfully friendly now. Why?~
@1612   = ~Nothing like that. He's dead. Died not far from here. No cause, but it weren't natural. He was fit as an ox and not a day past twenty-seven. You looking into it?~
@1613   = ~Yes, I am. Jaheira is likely suffering from the same affliction. I need to find a man named Ployer.~
@1614   = ~The multiplayer session has been terminated. The frame rates for the server and client programs do not match.

Server frame rate: <SERVERVERSION>
Client frame rate: <CLIENTVERSION>

You can change your frame rate with the configuration utility.~
@1615   = ~Dead? That does not bode well. Any idea who was behind it?~
@1616   = ~Possibly. Do you know where he was found exactly, or where he might have gone that day?~
@1617   = ~Jaheira be a friend to many, and some owe her more than others. I ain't sayin' more, but you are welcome here come the hells or falling skies.~
@1618   = ~Well, I appreciate that. Now about Belgrade, can I meet him somehow? Do I need passwords and secret handshakes and all that?~
@1619   = ~She may not last that long. Where can I find this Belgrade? It is urgent and I will go wherever need be.~
@1620   = ~Don't be loitering long then. I've customers to keep happy.~
@1621   = ~Jaheira suggested I come here. She said I might find someone named Belgrade.~
@1622   = ~First sentence and you've gone and broken at least two of my conditions. Sorry, but I can't help you there. Perhaps a good wine or a lovely chowder instead?~
@1623   = ~That was awfully quick. Are you sure of that?~
@1624   = ~Well, I guess not. Thanks anyway.~
@1625   = ~Are you certain? Jaheira was sure he would be here.~
@1626   = ~Positive. Next?~
@1627   = ~Well, what about an old slaver named Ployer? Seen him?~
@1628   = ~I guess that's it. Thanks for your help anyway.~
@1629   = ~Odd. Jaheira was sure he would be here.~
@1630   = ~Heard anything about Harpers in the area? Where they might be?~
@1631   = ~Nope, can't help you. Perhaps some lovely fish cakes or a mead?~
@1632   = ~No, thanks. I'll be going.~
@1633   = ~No, thanks. I'll be going.~
@1634   = ~~
@1635   = ~You don't seem too forthcoming. Is there anything you CAN tell me?~
@1636   = ~Damnation, Jaheira was sure this place would have a clue or two!~
@1637   = ~Damnation, Jaheira was sure this place would have a clue or two!~
@1638   = ~You don't seem too forthcoming. Is there anything you CAN tell me?~
@1639   = ~Yes. Don't hang around in taverns asking pointed questions. We never met, and I never heard you ask for any of those names. Good day.~
@1640   = ~The Slaver? He ain't allowed here. Made his fortune on stolen babies. I was damn glad to see Jaheira ruin him. Have I seen him? No, and I wouldn't want to.~
@1641   = ~What were you saying about Belgrade's death? Did you know who was behind it?~
@1642   = ~Do you know where Belgrade may have gone the day he died?~
@1643   = ~Thanks, you've been a great help. I don't know if I got what I needed, but thanks nonetheless.~
@1644   = ~Don't know, but a Harper makes many enemies. Don't rightly want to meet the fool brave or stupid enough to kill one of their number. Harpers never forget.~
@1645   = ~Belgrade wooed nobles; he was never in the slums except the day he was dead. Dumped in the northeast maybe, but there were too many tracks to tell for sure.~
@1646   = ~Thanks. What were you saying about Ployer?~
@1647   = ~Do you know where he went that day? Where he might have been going?~
@1648   = ~Thanks, you've been a great help. I don't know if I got what I needed, but thanks nonetheless.~
@1649   = ~Thanks. What were you saying about Ployer?~
@1650   = ~Do you know who might have killed him?~
@1651   = ~Thanks, you've been a great help. I don't know if I got what I needed, but thanks nonetheless.~
@1652   = ~~
@1653   = ~No deals for a slayer of Harpers. ~ [JAHEIRC9]
@1654   = ~Oh, Belgrade had also asked about a black and green robe he found. Seemed odd then, but he was an odd fellow. All Harpers are like that. Wouldn't have it any other way.~
@1655   = ~What can I do for... Jaheira? Jaheira, no games now, you look like you've seen yer own ghost, or are about to. Young lady, you look about ninety! Are you ill?~
@1656   = ~I'm... I'm fine, Bernard. I just need...~
@1657   = ~The hell you are! These louts you traveling with running you ragged? I'll have them fishing for shark in the bay with no net if they...~
@1658   = ~Bernard, I'm FINE. I just need... need some information. I need to find Belgrade.~
@1659   = ~Oh, I'm sorry, Jaheira, but he's not around anymore. I ain't had the pleasure of his company in nigh unto...~
@1660   = ~Eldoth~ [AJAN01]
@1661   = ~BERNARD! Bernard, this is important. I need to contact him. I know you can connect with the network when you need to, so...~
@1662   = ~Ohh, Jaheira, you misunderstand me. Belgrade, he's... he's dead.~
@1663   = ~D... dead? When?~
@1664   = ~A while back. He got sickly just like... oh my, just like you. What is it, a plague that only affects Harpers? I knew your lot would anger the wrong god or...~
@1665   = ~Bernard, please. I need to know where they found Belgrade. I also need to know if you have seen Baron Ployer.~
@1666   = ~Found Belgrade in the east slums. Too many tracks to tell if he was dumped there. And Ployer? He ain't welcome here. Damn glad you exposed him, Jaheira.~
@1667   = ~I see... Thank you, Bernard. I... I really must be going now.~
@1668   = ~You take care now. Please.~
@1669   = ~What is it you wish? You are obviously out of place here, so unless you have pressing business, I am very busy and do not wish to be bothered by such as you.~
@1670   = ~Might you help me? I have an interest in those taken by the Cowled Wizards. ~
@1671   = ~I'm looking for a mage, or a group of mages. They may wear green and black robes as a uniform.~
@1672   = ~I wonder if you might help me? Has a Baron Ployer sought the assistance of any of your members lately?~
@1673   = ~What happens to those taken by the Cowled Wizards is not for decent people to know. No magic user goes unknown, and all may pass through here, but that information is not for you. Good day.~
@1674   = ~I know of no such robes, though it would not be your business if I did. The Cowled Wizards will deal with such people. Leave, and ask me no more of such things.~
@1675   = ~We are not an employable organization. Ours is a mandate given by the state. All other interests are those of individual members, not the group. You will not find what you need here. Begone.~
@1676   = ~Petrified Man~
@1677   = ~Jaheira is in dire straits. We have calmed her fevers, but she will die if not released from this spell. This curse was fashioned specifically for her. ~
@1678   = ~How could it have affected her so quickly and totally? ~
@1679   = ~Why have you not been able to remove it? Surely there are druids of sufficient experience to deal with this?~
@1680   = ~Thank you for keeping her safe. I will do what I can to find the person who cursed her.~
@1681   = ~Well, if she is safe in your care, I have plenty of time to find the one who inflicted this curse upon her.~
@1682   = ~Save successful~
@1683   = ~The caster must have a personal item of hers. The caster could remove the spell, or killing him might work. Perhaps even retrieving the item would help.~
@1684   = ~Some personal item of hers was used in the casting... the spell is specific to Jaheira. It will only end if the caster removes it or if her item is returned.~
@1685   = ~Hurry. The spell is meant to kill only Jaheira... a personal item was used in the casting. Only recovering it, or the caster himself, may end this. ~
@1686   = ~Delay and she dies. Some personal item of hers was used to cast this. If this item were restored, the spell might fade... or the caster could end it himself. ~
@1687   = ~Hurry. Jaheira has not much time left.~
@1688   = ~Jaheira? Child, are you here for ascension rites? I was not aware your time had arrived yet, and I... What is wrong, you look pale?~
@1689   = ~Drenden, I... I am dying.~
@1690   = ~Say nothing more. You will come and be administered to immediately! No discussions; I know how obstinate you can be.~
@1691   = ~No arguments from... from me.~
@1692   = ~No arguments? My dear, you must be on your very deathbed! You will lie down this instant. You, have you done this to her?~
@1693   = ~Drenden, they have done nothing to me... I am... cursed. It cannot be removed. I cannot... I feel...~
@1694   = ~She will remain here. Find the source of this curse and stop it. We must not lose this child of earth to this insidious thing. Go, and return quickly.~
@1695   = ~It's... all right. Find... find Ployer and...~
@1696   = ~Nester's Dagger~
@1697   = ~A Key~
@1698   = ~Jaheira will not live long under this curse. If you know how to rid her of it, I suggest you do it quickly. We can only delay her fate. Hurry.~
@1699   = ~She is getting better. Whatever you did, it saved her life. The Earthmother thanks you for saving her child, as do all the citizens of nature.~
@1700   = ~I have a message for you, Miss Nalia, from the residents of the de'Arnise estate. I must get an imprint of your signet ring to prove I found you.~
@1701   = ~Of course. You have done well. ~
@1702   = ~Thank you, Miss Nalia, though I do hate to be the bearer of somber news. Here is your message. Safe travels to you. ~
@1703   = ~Let's see what this says then, shall we...?~
@1704   = ~Oh my...~
@1705   = ~I must go to the Graveyard District in Athkatla at once. All other concerns must wait. I am sorry, but I must insist upon this.~
@1706   = ~What is your concern? It must be quite grave to cause you such grief.~
@1707   = ~I cannot simply about-face and charge off without first knowing why. ~
@1708   = ~I am sure we will turn back that way eventually. Patience, we have much to do.~
@1709   = ~Another errand of yours that will escalate into siege warfare no doubt. What is it this time?~
@1710   = ~You are more correct than you might've wished, but I forgive your ignorance. The message is about my father's funeral. I must go to the Graveyard District.~
@1711   = ~The letter was notification of my father's funeral arrangements, and I will not miss them. I must leave as soon as possible.~
@1712   = ~In normal circumstances perhaps, but this is not one of those times. The letter is notification of my father's funeral. I must go to Athkatla with all speed.~
@1713   = ~I am sorry my concerns are such an inconvenience. The letter was notification of my father's funeral. I must get to Athkatla with all haste.~
@1714   = ~Then we shall go as soon as mortally possible. I would not dream of letting you miss it.~
@1715   = ~Very well, I shall head in that direction at the next possible opportunity.~
@1716   = ~I sympathize, but this could not come at a worse time. There are other things to be done.~
@1717   = ~Then that is what we will do. I would not allow you to miss it on my account. ~
@1718   = ~I shall abandon my plans and charge off. I imagine this will take a large amount of time once we are there?~
@1719   = ~While I do sympathize with you, I simply cannot go at this time. ~
@1720   = ~Then we shall go as soon as mortally possible. I would not dream of letting you miss it.~
@1721   = ~Very well, I shall head in that direction at the next possible opportunity. ~
@1722   = ~I sympathize with you, but this could not come at a worse time. There are other things to be done.~
@1723   = ~Then that is what we will do. I would not allow you to miss it on my account. ~
@1724   = ~All right then, I shall abandon whatever I am doing and charge off as soon as we can. I imaging this will take a large amount of time once we are there?~
@1725   = ~While I do sympathize with you, I simply cannot go at this time. ~
@1726   = ~It is simply out of the question. I have not the time, nor the desire. ~
@1727   = ~That is not an option at this time. We have things to do that cannot be postponed. ~
@1728   = ~It is simply out of the question. Pay your respects on your own; I have no time.~
@1729   = ~That is not an option at this time. We have things to do that take priority, and they cannot be postponed. ~
@1730   = ~Thank you, I do appreciate this. It seems I owe you another debt of gratitude.~
@1731   = ~I realize this is an inconvenience, but try not to worry. It will take only a moment to make an appearance. I thank you for understanding, albeit grudgingly.~
@1732   = ~This is a special circumstance. I don't ask for much... well, besides rescuing my home and routing a legion of trolls. Please, could we at least go soon?~
@1733   = ~No, I am sorry, but my decision is firm. We have no time for jaunting off to funerals.~
@1734   = ~That is acceptable. We will go when it is next convenient.~
@1735   = ~If you are that set on the matter, then we shall go right now. ~
@1736   = ~You leave me little choice. Very well... here is the bulk of your gear. If you wish to find me, I should be at the Copper Coronet within a day, once the funeral is over.~
@1737   = ~What? Wait! All right, we'll go, but not this instant. It will be soon though.~
@1738   = ~Perhaps that is for the best. I will meet up with you there.~
@1739   = ~Go then! I must be able to expect loyalty and this simply will not do!~
@1740   = ~Very well. I do hope you will follow. You do understand why I must go, don't you? I hope so. Until we meet again?~
@1741   = ~I follow this group because of the charity we give. I am no soldier, and you are no general. Follow if you wish, but I must go.~
@1742   = ~I must insist that we go to Athkatla this instant. I'm sorry, but you did say we would go. I will leave on my own if I have to.~ [NALIA75]
@1743   = ~I am sorry for delaying so long. We shall leave immediately. ~
@1744   = ~Just a while longer, Nalia. Don't worry, I will get you there.~
@1745   = ~I really don't think we have the time. Do you really need to be there?~
@1746   = ~Good and good. This is very important to me, and I thank you for helping.~
@1747   = ~I am not worried, because I am leaving. I'm sorry, but this is very important and I won't miss it. I shall be at the Copper Coronet within a day, after the funeral is over.~
@1748   = ~To my father's funeral? Yes, I should say so! I cannot abide this delaying tactic any longer. I will be at the Copper Coronet within a day, after the funeral, if you wish to see me again.~
@1749   = ~I can wait no longer. Whether convenient or not, I must leave right now! I shall be at the Copper Coronet within a day, after the funeral, if you wish to see me again.~ [NALIA76]
@1750   = ~Please, sire, I have words you must hear that are for you alone.~
@1751   = ~Please, ma'am, I have something I wish to say, and none must overhear.~
@1752   = ~I saw what happened, and I share your helplessness. Any complaints about Officer Roenall must first go THROUGH him, so you can imagine how many get through.~
@1753   = ~Yes, yes, you have expressed your sympathy. Now what is it you actually want?~
@1754   = ~Thanks for the happy thought. I feel much better now. Leave me alone, fool.~
@1755   = ~Have you something that can help? I am not in the mood for conversation.~
@1756   = ~This did not come from me, for if my indiscretion against Isaea were to get out, I should be thrown from the military. There is one way you can get to him. ~
@1757   = ~I hold you no grudge for your manner. Isaea is good at provoking empty rage in those with no path to vent. But I know a way to get back at him.~
@1758   = ~Of course, I shall be brief. You may feel better afterwards though... I know a way to get back at Isaea, one that will hurt him deeply.~
@1759   = ~Isaea is quite corrupt and more than willing to exercise his power. You are not monitored as we, so you can do something that I or another guard cannot. ~
@1760   = ~Look to the docks and a man named Barg. Examine him and what he does, and you are sure to see what I mean. ~
@1761   = ~Nalia, my dear! I have been worried sick about you!~ [ISAEAX02]
@1762   = ~The amulet around your neck is heavy with sentiment, but even more so with value. In that respect, at least, it is worthy of you. You make your way out of the city, the noise of the crowd still in your ears. They were genuinely grateful, though you could sense the hesitation in their words. No matter, you have done what you came to do. Let them glare if they wish. Perhaps one day you will return and reward their suspicions. They will be weak for some time... 

You return to your travels, making sure that those you meet never forget your passing. Fear and respect is all that you ask, for you are deserving of both. The battle with Irenicus gave you a greater understanding of yourself, and strangely enough, the world appears to respond readily. More of life matches your dark demeanor, and why should it not? You were the Slayer, you conquered a portion of Hell itself, and you crushed everyone that stood in your path.

And wherever you go, people stand aside. You have gained great power, and no one will ever take it from you again.~ [NARR05]
@1763   = ~As you leave Suldanessellar, you are nearly overwhelmed by the cheering of the assembled crowds. There is open gratitude on the faces of the elves, and many times you are encouraged to stop and receive gifts or shake hands. There is an obvious lament at your departure, as well as an expectation of your return. They consider you a hero and, for once, you really feel the part. 

You pass into the Forest of Tethir, wondering if there could have been a future for you in the city that you have left behind. You examine the amulet around your neck, studying the images of elven gods inlaid in the platinum, and you feel the warm tingle of the item's magic. This gift will remind you of how welcome a visitor you would be—but it also bears witness to the fact that you are without a true home, a place where you belong. You could return to Athkatla, you think, but deep inside, you feel the taint that yet remains in your soul.

There can be no home for you yet, as hard as that is to admit, so you venture deeper into the forest, pondering the words of demons and growing annoyed at how destiny holds its secrets from your view.~ [NARR01]
@1764   = ~This is the axe of Bruenor Battlehammer, and a fine weapon it is. It has a formidable single-edged blade and handles with the efficiency of a hand axe despite its size.

STATISTICS:

THAC0: +3
Damage: 1d8+3 (slashing)
Speed Factor: 4
Proficiency Type: Axe
Type: One-handed
Requires:
 10 Strength

Weight: 6~
@1765   = ~This is the personal armor of Bruenor Battlehammer, and never a finer kit have you seen. It is truly a marvel of battlefield craftsmanship.

STATISTICS:

Armor Class: -1 (-3 vs. slashing, -2 vs. piercing and missile)
Requires:
 15 Strength

Weight: 45~
@1766   = ~Gardush~
@1767   = ~Gardush~
@1768   = ~Full plate armor is the best armor a warrior can buy, both in appearance and protection. The perfectly fitted, interlocking plates are specially angled to deflect arrows and blows, and the entire suit is carefully adorned with rich engraving and embossed detail. This +2 armor was created with the Limited Wish spell.

STATISTICS:

Armor Class: -1 (-5 vs. slashing, -4 vs. piercing and missile)
Requires:
 15 Strength

Weight: 40~
@1769   = ~Oh no! It's Isaea! Let's get out of here.~ [NALIA90]
@1770   = ~No, do not turn away. It has been so long since I have seen your face. So regal and... uh... a bit dirty actually. Have you been slumming again? Naughty!~
@1771   = ~Kindly place a cork in it, Isaea, I do not "slum." Foppish fools looking for a thrill "slum." I help people.~
@1772   = ~Of course, one must have one's little hobbies, but it is just about time you honored our... ahh... agreement? The honor of your house is at stake, you recall?~
@1773   = ~My home has a new head that owes you no allegiance. Do such agreements carry beyond the death of the makers? No, a master of weapons may assume title to...~
@1774   = ~~
@1775   = ~My house? What house? Your family directs my father's holdings as though theirs. That suggests my name has... has lost what nobility it had.~
@1776   = ~This is a ledger of income for the last season, marking major purchases and trades within Isaea's household. It details a number of gem and jewel transactions, though not from any local dealer. On inspection, the importation prices are far below market value, and while you are no accountant, it would seem that an effort has been made to get around local tariffs. This could be documented smuggling, or it could just be sloppy clerical work.~
@1777   = ~Well, I... ahh...~
@1778   = ~I thought not. No, I don't think I will be marrying you, Isaea. I do not have to, nor do I need to, and, above all else, I do not find your company enjoyable.~
@1779   = ~You know as well as I do that the arrangement is a fabrication! My word, you have brought them here? This... orc is ruling your house? Ridiculous!~
@1780   = ~No more ridiculous than you forcing the issue of this "betrothal." No, Isaea, I will not marry you. Above all else, I do not find your company enjoyable.~
@1781   = ~You may be entitled to ruin your own reputation, but I will not have you dragging me down as well by denying what is mine by rights! I will not stand for it!~
@1782   = ~Was that a threat? You had best stop short of intimidation tactics. I do not put up with such things.~
@1783   = ~How exactly is she ruining her own reputation? By being kind to those less fortunate? ~
@1784   = ~Now then, I think we are getting just a bit too excited here. Perhaps we can come to some sort of understanding?~
@1785   = ~It can speak! Nalia trained you well. Oh, did I provoke you? Your reaction will be violent, no doubt. On your first move, I shall have my guard cut you to p...~
@1786   = ~What is going on here? Who are these...? Oh, hello Nalia. My deepest sympathies to you this day. Your father was a fine man.~
@1787   = ~Thank you, Lord Roenall. He would be pleased to hear such praise. ~
@1788   = ~Stop this "Lord Roenall" business. I'll not have such formalities. "Farthington" is my name among friends, "Farthy" if out of sight of the missus. Hrmph heh? ~
@1789   = ~Lord Roenall, you are a positive cad!~
@1790   = ~Yes, well... OH! Is it true your home has been overrun by barbarians? My guards will have you home and safe in no time... there are none finer!~
@1791   = ~Ring of Spell Turning~
@1792   = ~Yes, well... OH! Isaea says you abandoned your home to wander as a peasant. Really, if your estate needs guards or accountants, I would be happy to...~
@1793   = ~Isaea said WHAT?! Abandoned?! It was wrested out from under me! What has...~
@1794   = ~I fear you are misinformed, sir. No, with my father's death, it was best to defer to the weaponsmaster that saved the keep. You know the old customs, don't you?~
@1795   = ~Of course, a fine tradition. I know many a name that was started in that way... the Curstwerds of Muraan, for example. I'm glad to see you follo...~
@1796   = ~THANK you, Father, but it's NOT that simple. Nalia made a rash decision and we'll sort it all out shortly. Aren't the Curstwerds downstairs? Give them my best.~
@1797   = ~Thank you, Father, but shouldn't you be getting back to the guests? Do not mind Nalia; she is still somewhat "lost" without her father. You understand.~
@1798   = ~Quite, quite. All my best, my dear.~
@1799   = ~Isaea, what have you told him? That I was run off and afraid to go back? Is that how you intend to take control of my home, my life? I'll not have it!~
@1800   = ~Nalia, descend further into these whims of yours and you shall be a laughingstock. Come now, our combined names would carry quite the weight. What do you say?~
@1801   = ~I say... I say take your name and eat it! I'll not be your puppet!~
@1802   = ~Do not anger me, Nalia. I can help or hinder; I've done it before.~
@1803   = ~She has said her wishes. Whether you respect them or not, you will let them stand.~
@1804   = ~Now that WAS a threat. I'm watching you. Best hope I don't find something I don't like. Understand?~
@1805   = ~I think it best if we all just take a step back and cool off. Only spite will come out of comments like that.~
@1806   = ~Your comment is asinine. Obviously she does not know what her wishes should be. Just look at her choice of company. I will leave... for now. This is unfinished.~
@1807   = ~Kindly turn your eyes downward; your gaze makes me feel unclean. As for your threat, you should really know whom you are addressing before you do such things.~
@1808   = ~Crawl back under the rock you were born of, and leave my comments to those that understand them. Nalia will, and perhaps you will learn too. This is unfinished.~
@1809   = ~A fine girl, that Nalia. Good head on her shoulders. Never understood what she saw in Isaea. Fetch me a drink, will you?~
@1810   = ~Get yourself some rest, my dear. You've had quite a shock and a bumpy ride. We'll get it sorted out in good time.~
@1811   = ~I'm sorry for that extended exchange, but he is such a... bounder, such a... a manipulating... such a... Oh, to Hades with the manners, he is a complete bastard, and calling him that insults bastards everywhere!~ [NALIA77]
@1812   = ~Has he always been that... driven? He is quite intent on enforcing your betrothal.~
@1813   = ~He did say he could "help or hinder," and "he'd done it before." What's that about?~
@1814   = ~It would be quite beneficial to marry him. You have thought of this, haven't you?~
@1815   = ~I don't want a role in this mess. Will we be meeting up with that foppish lout again?~
@1816   = ~I do not understand him. If he were not the son of Lord Roenall, I would think him capable of anything. Anything short of the criminal, of course.~
@1817   = ~What does any of it mean? That he is a rounder, and were he not the son of Lord Roenall, I would think him capable of anything short of the criminal.~
@1818   = ~I am reminded each and every day when I wake up and realize what has changed. Father had everything balanced and stable. Now it's all topsy-turvy.~
@1819   = ~Hopefully, he'll give me space now. Actually, this was the first time I said no directly. Father always handled it. I bet Isaea found him as maddening as me.~
@1820   = ~Well, if it isn't Nalia's trained chimps come to call. ~
@1821   = ~I must go. Think on what I've said, and bring anything you learn to Corgeig Axehand in the Government District main building. He is Isaea's commander.~
@1822   = ~Is there a reason you are here? You should make an appointment to request an audience, or speak directly with Officer Roenall. He serves well as liaison to the nobility.~ [CORGEI02]
@1823   = ~You should stop and examine him a bit closer. He is not as he seems!~
@1824   = ~Sorry to bother you. I was just looking around.~
@1825   = ~As you will, but you may not be allowed access to some areas. This is the heart of government, after all. ~
@1826   = ~So you are suggesting that one of my officers has behaved inappropriately? What is your evidence of this? What are your claims?~
@1827   = ~~
@1828   = ~He imprisoned Nalia de'Arnise to force her submission to an arranged marriage.~
@1829   = ~Isaea finances pirates. I have a witness to these events; a man named Barg.~
@1830   = ~Isaea has possession of smuggled gems, a fact proven by his own records. ~
@1831   = ~Isaea Roenall deals in slaves. His insignia was used on slave documents.~
@1832   = ~Serious charges indeed. However, I am familiar with the young woman in question, and she is hardly to be considered innocent by default. ~
@1833   = ~I thank you for the concern you have shown, but in this instance, it is misguided. Have you anything else I can help you with?~
@1834   = ~I fear I may have been too rash in my conclusions. Forgive my outburst.~
@1835   = ~Please, good citizen, if you are to besmirch the name of one of my officers, you had best make sure you can back up said arguments. ~
@1836   = ~No. That will be all. I might have been premature in my judgments.~
@1837   = ~Perhaps. I still think Isaea should be looked into closely.~
@1838   = ~A scathing claim, but not enough to pursue a man. Barg is a known scoundrel; his testimony is questionable. Have you other charges that cast further doubt?~
@1839   = ~Not at this time.~
@1840   = ~Isaea has possession of smuggled gems, a fact proven by his own records. ~
@1841   = ~Isaea Roenall deals in slaves. His insignia was used on slave documents.~
@1842   = ~This may have been a simple clerical error. Combined with other charges, it might warrant an inquiry, but alone it does not. Have you other charges to make?~
@1843   = ~Not at this time.~
@1844   = ~Isaea finances pirates. I have a witness to these events; a man named Barg.~
@1845   = ~Isaea Roenall deals in slaves. His insignia was used on slave documents.~
@1846   = ~Any number of factors could place his insignia there and not directly involve him. Alone it is not worth the risk of defaming an innocent man. Have you other charges?~
@1847   = ~Not at this time.~
@1848   = ~Isaea finances pirates. I have a witness to these events; a man named Barg.~
@1849   = ~Isaea has possession of smuggled gems, a fact proven by his own records. ~
@1850   = ~If you make further claims of a circumstantial nature, you had better provide enough of them that they warrant investigation despite their inconclusive nature alone. ~
@1851   = ~This may have been a simple clerical error. Combined with other charges, it might warrant an inquiry, but alone it does not. Have you other charges to make?~
@1852   = ~Not at this time.~
@1853   = ~Isaea Roenall deals in slaves. His insignia was used on slave documents.~
@1854   = ~Any number of factors could place his insignia there. Combined with the previous it does seem odd, but still more is needed to warrant investigation.~
@1855   = ~I have nothing else at this time.~
@1856   = ~Isaea has possession of smuggled gems, a fact proven by his own records. ~
@1857   = ~Any hint of association with the slave trade can ruin a man, and your claims are all circumstantial, but there is enough here to warrant investigating officially. ~
@1858   = ~This may be a clerical error, but combined with the previous, it does seem suspicious. We must endeavor to uncover the truth of the matter as best we can.~
@1859   = ~A scathing claim, but this "Barg" is a known scoundrel; his testimony is questionable. With the previous, it is suspicious, but not enough to slander Isaea's name.~
@1860   = ~I have nothing else at this time.~
@1861   = ~Isaea Roenall deals in slaves. His insignia was used on slave documents.~
@1862   = ~Any number of factors could place his insignia there and still not prove an association with slavers. With the previous, it does appear alarming, but more is needed.~
@1863   = ~I have nothing else at this time.~
@1864   = ~Isaea finances pirates. I have a witness to these events; a man named Barg.~
@1865   = ~Barg is a scoundrel; his testimony is questionable. Still, all of this together is disturbing. There is enough here to warrant an investigation despite the risks to Isaea's name.~
@1866   = ~A scathing claim, but Barg is a scoundrel; his testimony is questionable. The two claims are still not enough to endanger Isaea's name. Have you additional charges?~
@1867   = ~Not at this time.~
@1868   = ~Isaea has possession of smuggled gems, a fact proven by his own records. ~
@1869   = ~This may have been a clerical error. The two charges are damaging, but still not enough to slander Isaea. Have you other charges that remove all doubt?~
@1870   = ~Not at this time.~
@1871   = ~Isaea finances pirates. I have a witness to these events; a man named Barg.~
@1872   = ~I see you have returned. Have you new evidence you wish to show me, or have you given up on this foolish enterprise?~ [CORGEI06]
@1873   = ~No, I do not have anything to show you at this time. ~
@1874   = ~I may have important information about the conduct of one Isaea Roenall.~
@1875   = ~~
@1876   = ~~
@1877   = ~It will take some time to fully investigate, but we should know tomorrow if an inquiry is warranted. I suggest you return then. ~ [CORGEI08]
@1878   = ~If your allegations are false, however, you may find yourself indebted to Isaea. I will have Isaea summoned here, and we will see what course must be taken.~
@1879   = ~Hey, turnip boy!~
@1880   = ~Who else, dear cousin? I see that you've gathered some formidable friends since I've last seen you.~
@1881   = ~~
@1882   = ~Back in the circus. Judge didn't think elephants had the right to choose in a custody battle. Poor Jeffery. Nailed me with a theft charge, too. Just got out of prison. ~
@1883   = ~No. They should hire a better locksmith. Listen, Jan, you haven't come by the house for a long time. We've been looking for you.~
@1884   = ~It's Lissa. She's staying with us now.~
@1885   = ~You should talk to her yourself. I promised to give you the message, but I have to go. Been dodging bounty hunters for days. Farewell, cousin. See you soon.~
@1886   = ~~
@1887   = ~~
@1888   = ~Who dar... Beeloo? ~
@1889   = ~Well, they're not gnomes, but they're not a total loss either. Some of them can get through an entire battle without my needing to babysit them. Quite remarkable for the non-gnomish. Where's your elephant?~
@1890   = ~Legally?~
@1891   = ~Have you? Is something wrong?~
@1892   = ~~
@1893   = ~Did he hurt her?~
@1894   = ~Farewell, Beeloo. ~
@1895   = ~It looks like something serious is afoot. I'll have to be heading back to my home in the Slums District.~ [JANJAN68]
@1896   = ~Good riddance, gnome. I tire of your pointless tales.~
@1897   = ~Is it something that I could help with?~
@1898   = ~I'm afraid we haven't the time to accompany you. Perhaps we could meet you at a later time.~
@1899   = ~So be it. You're a tactless bunch of idiots anyway. I've more important things to do! Excuse me.~ [JANJAN80]
@1900   = ~You are welcome to come with me. I know not what the story will be, so I'm not sure if you'll actually need to do something.~
@1901   = ~Perhaps you should tell us who Lissa is and why you're worried about her.~
@1902   = ~In that case, we'll continue on the road and shall meet you at a later time.~
@1903   = ~My family's house lies in the Slums District of Athkatla. 'Tis a grand tower. I shall most likely be there if you should have need of me at a later time. It's been fun, though I wish I'd had more time to regale you with tales. Farewell!~
@1904   = ~It is not an easy tale for me to tell. This girl, Lissa, that my cousin mentioned is an old friend of mine. More than a friend, I should say. She grew up poor, like me. It was a hard life, but there was happiness to be found.~
@1905   = ~I loved Lissa like I've never loved another. She was the most beautiful girl in Athkatla. I was not the only one to think so, however; she had several suitors when she came of marrying age. I worried little about it. I was her closest friend and she claimed to love me. ~
@1906   = ~There are many gnomish families in Athkatla. Life is very different for gnomes so used to the woods and caves of the country. Many of the families struggle with poverty in exchange for the safety of the city walls and Amnian law. Some families do very well. He came from one such family.~
@1907   = ~Vaelag is the gnome who runs all "business" in the gnomish areas of Athkatla.~
@1908   = ~By "business," I assume you mean criminal activities.~
@1909   = ~What business?~
@1910   = ~Actually, I'd rather not hear this story right now. Why don't we get going?~
@1911   = ~Yes. He is a thief who pretends to be an honest merchant. Rumor has it that he reports directly to the Shadow Thieves. Regardless, he was not a pleasant person. He was a bully and a cruel man. He enjoyed exercising power. He was also suave, sophisticated, and very, very rich.~
@1912   = ~I refer to unsavory business. Loan sharking, smuggling, and so forth. Vaelag is a thief who pretends to be an honest merchant. Rumor has it that he reports directly to the Shadow Thieves. Regardless, he was not a pleasant person. He was a bully and a cruel man. He enjoyed exercising power. He was also suave, sophisticated, and very, very rich.~
