@81433  = ~试试来拿啊。谅你也不敢。~
@83678  = ~我想他们是认真的，卡宾娜。最好说重点。~ [OH83678]
@83679  = ~那好吧，先谈正事再说笑。赫克塞特，L很高兴听到你成功得到了黑豹之爪——这次没花几十年。干得漂亮。~ [OH83679]
@83680  = ~她也许曾是乌塔欧的能干仆人，但她作为一个母亲的能力有待改进。~
@83681  = ~”被迫？“~
@83682  = ~你评价太快，<CHARNAME>。我母亲做了她认为对我最好的。她的观点……在我们部落更保守的成员中评价不高。把我送到姨妈们那里是唯一保证我不陷入危险的办法。~ [OH83682]
@83683  = ~一位高贵女性的高贵举动。~
@83684  = ~她应该舍弃乌塔欧，专注于照顾你。~
@83685  = ~随你喜欢扭曲事实吧，赫克塞特。你没法把她的自私行为变成高贵的。~
@83686  = ~你对我母亲一无所知，对我了解更少。现在，除非你宁可在这该死的大坑里度过余生，给我安静。我需要专注来打开回按姆的传送门。~ [OH83686]
@83687  = ~而砍掉一只手能让她免受关节炎。她做了唯一能做的选择。我的姨妈们把我当亲生孩子养大。我母亲给不了的，她们很乐意给予。~ [OH83687]
@83688  = ~我很高兴他高兴。现在他要什么？~ [OH83688]
@83689  = ~你很幸运。~
@83690  = ~未验先知的裹尸布。它在一座埋在扎卡拉沙漠下的墓里。~ [OH83690]
@83691  = ~她们听起来是了不起的女人。~
@83692  = ~裹尸布有什么样的守卫？~
@83693  = ~什么也代替不了母爱。~
@83694  = ~它怎么到那里的？~
@83695  = ~我活下来了。现在安静。我需要专注把我们送回安姆。~ [OH83695]
@83696  = ~我估计，是难缠的家伙。不然没理由派赫克塞特。你喜欢挑战，不是吗，亲爱的？~ [OH83696]
@83697  = ~你一无所知。~ [OH83697]
@83698  = ~别这样。我姨妈们把我当亲生孩子养大。我母亲给不了的，她们很乐意给予。~ [OH83698]
@83699  = ~你很幸运。~
@83700  = ~她们一定是了不起的女人。~
@83701  = ~母爱的可怜替代。~
@83702  = ~我的运气在德拉戈米尔的墓里用完了。~ [OH83702]
@83703  = ~许多人都是。~
@83704  = ~你在德拉戈米尔的墓里遇到我。~
@83705  = ~怎么会？你在那里得到不死的赠礼。~
@83706  = ~有时要做牺牲。~ [OH83706]
@83707  = ~赠礼？你管这阴暗存在叫赠礼？你疯了，<CHARNAME>！你对我忍受的折磨，我生存其中的恐怖一无所知。~ [OH83707]
@83708  = ~正是。现在闭一下嘴。我需要专注于把我们弄出这里。~ [OH83708]
@83709  = ~一个投资？我在你眼里就是这个？~ [OH83709]
@83710  = ~为什么？你还想成为更多？~
@83711  = ~不管你对我是什么，那就是你要成为的。~
@83712  = ~你还想是什么？一项资产？一个敌人？~
@83713  = ~眼下，我会满足于当你回安姆的通道。安静一下——使用德拉戈米尔的头盔需要专注。~ [OH83713]
@83714  = ~赫克塞特对付任何挡她路的障碍都绰绰有余。~
@83715  = ~再叫她一次亲爱的，你自己就会面对一个挑战，卡宾娜。~
@83716  = ~现在有值得探索的东西了……等我们一回安姆。现在安静——使用德拉戈米尔的头盔需要专注。~ [OH83716]
@83717  = ~如果那就是你能告诉我们的所有任务情况，我们现在要走了。~
@83718  = ~把我当工具你用不起，你也不会想和我为敌。现在安静——打开回安姆的传送门需要专注。~ [OH83718]
@83719  = ~她也有能力自己说话。未验先知的裹尸布是什么？它看上去是什么样？~ [OH83719]
@83720  = ~算了吧，<CHARNAME>。她是无害的。~ [OH83720]
@83721  = ~把常识留给常人。我们比那更高等。~ [OH83721]
@83722  = ~你在试图伤害我的感情，赫克塞特。坚持下去。~ [OH83722]
@83723  = ~只有你的自负匹敌你的美丽。~
@83724  = ~确实。我渴望当个平凡<PRO_MANWOMAN>，但远远高出他们。你和我，我们肩负可怕的重担。~
@83725  = ~你很敏锐。~
@83726  = ~我的技巧超出两者。~ [OH83726]
@83727  = ~那么，是哪些技巧呢？~
@83728  = ~你让我陷入和不死生物非生即死的战斗的技巧确实举世无双。~
@83729  = ~那是我允许你和我同行的原因。~
@83730  = ~你已经见识过一些。你还没准备好体验其他的……暂时。现在安静——我需要专注于送我们回安姆。~ [OH83730]
@83731  = ~你在活过这些战斗时表现出色。我们是个好团队。现在，我能描绘在几个场景中，我会真心这么说，但闭一下你的嘴。回安姆需要些专注。~ [OH83731]
@83732  = ~我为此自豪。现在安静，我要用德拉戈米尔的头盔送我们回安姆。~ [OH83732]
@83733  = ~幸运的是我们都找到理解相互处境的人。现在闭一下你的嘴——我需要专注来重新开启去安姆的传送门。~ [OH83733]
@83734  = ~然而不知怎的我们幸存甚至兴旺。我们真是了不起，不是吗？现在安静一下——我需要专注来使用德拉戈米尔的头盔。~ [OH83734]
@83735  = ~你的善行没有界限，<CHARNAME>。我请你安静一下，让我可以专注，送我们回安姆。~ [OH83735]
@83736  = ~L不道歉。他下命令并期望它们被执行。~ [OH83736]
@83737  = ~我想我没资格决定，你是否对这满意。~
@83738  = ~而你能接受这样？~
@83739  = ~不考虑他命令的那些人的安全。他不配当主人。~
@83740  = ~我没人盯着会更有效率。所以别再盯着我，让我带我们离开这里。~ [OH83740]
@83741  = ~没人是我的主人。他是雇主，仅此而已。~ [OH83741]
@83742  = ~从卡宾娜对你的说话方式看，我不确定那是L有意做区别。~
@83743  = ~他一定也是个慷慨的雇主，让你这么乐意为他卖命。~
@83744  = ~我怀疑他是否也会这么说。~
@83745  = ~主人、雇主，随他怎么想，只要他遵守我们的协议。~ [OH83745]
@83746  = ~你们的协议是什么内容？~
@83747  = ~得到报酬是一个强力动机，我无法否认。~
@83748  = ~如果你满足于当奴隶，我不会拦你。~
@83749  = ~L和我有相互满意的协议。我不会让你的讽刺毒害良好的合作关系。~ [OH83749]
@83750  = ~不关你事，它们就是这样。~ [OH83750]
@83751  = ~你宁可在生者的安息之地杀死他们？~ [OH83751]
@83752  = ~这是个严肃的事，赫克塞特。~
@83753  = ~现在你这么一说，是的。当你杀死他们时，生者没有不死的范例。~
@83754  = ~我宁可杀死你，吸血的。~
@83755  = ~说得好。现在安静——如果要送我们回安姆，我需要专注。~ [OH83755]
@83756  = ~你只管试，<PRO_RACE>。~ [OH83756]
@83757  = ~生存是最严肃的事，<CHARNAME>。如果能让我多活一天，我会毁掉一千个木乃伊，洗劫一万座墓。~ [OH83757]
@83758  = ~我相信你。而那让我害怕。~
@83759  = ~那有什么回旋余地吗？你有朝一日会满足于八百个木乃伊，或许六千座墓吗？~
@83760  = ~我也会。~
@83761  = ~你害怕我？我以为你更坚强的。~ [OH83761]
@83762  = ~你知道吗，<CHARNAME>，作为一个小丑，你是个伟大的冒险者。你应该扬长避短。~ [OH83762]
@83763  = ~很高兴我们相互理解。~ [OH83763]
@83764  = ~你准备好现在出发了吗，<CHARNAME>？~ [OH83764]
@83765  = ~L想要藏在扎卡拉沙漠下的未验先知裹尸布。就这些？~ [OH83765]
@83766  = ~L就要这些。我们去找个私密舒服的地方谈谈我要的。~ [OH83766]
@83767  = ~没人在乎你要什么。~
@83768  = ~哈！祝你好运，找到你称为谈话的尖啸的私密空间。~
@83769  = ~棺材就又好又舒服。~
@83770  = ~只要给我几分钟。~
@83771  = ~等我准备好会让你知道。~
@83772  = ~我们得到要找的了。现在走吧。~ [OH83772]
@83773  = ~还不行。~
@83774  = ~你找到你要找的了。我还在找。~
@83775  = ~好吧。~
@83776  = ~我不了解你，但我有比盗墓更好的事做。~ [OH83776]
@83777  = ~是呀，没错。我们在哪遇到的来着？~
@83778  = ~我没有。~
@83779  = ~好吧，我看够了。我们走。~
@83780  = ~准备好了？没有？那不用急。反正我们生活中也不是没有更好的事做。~ [OH83780]
@83781  = ~好吧，好吧。我们走。~
@83782  = ~我很高兴我们都同意。~
@83783  = ~这里还有更多东西。我确定。~
@83784  = ~我受够这地方了，<CHARNAME>。我们走。马上。~ [OH83784]
@83785  = ~别告诉我你对盗墓有意见……~
@83786  = ~那好吧。如果你坚持。~
@83787  = ~等我准备好我们就走。~
@83788  = ~改天吧，卡宾娜。在我取到裹尸布后。~ [OH83788]
@83789  = ~我就指望你了，亲爱的。~ [OH83789]
@83790  = ~由赫克塞特在里面陪着我？我猜就会这样。~ [OH83790]
@83791  = ~准备走了，<CHARNAME>？~ [OH83791]
@83792  = ~我们上吧。~
@83793  = ~我天生就准备好了。这很不幸，因为我等了几年才到这里。~
@83794  = ~不。在我们出发前，我有别的事要办。~
@83795  = ~好极了。L的事可以等一会。等一小会。等你准备好到墓园区告诉我。~ [OH83795]
@83796  = ~我们什么时候回墓园区，<CHARNAME>？L要开始怀疑我在干什么了，我最不想做的就是引起注意。~ [OH83796]
@83797  = ~哦，真恶心。你们俩啊，找个马厩。~ [OH83797]
@83798  = ~够了，<CHARNAME>，冷静。我完全有能力保卫我剩下的任何荣誉。卡宾娜，去告诉L他很快会得到裹尸布。~ [OH83798]
@83799  = ~我们现在就走，如果你愿意。~
@83800  = ~在墓里还是在沙漠下？~ [OH83800]
@83801  = ~在沙漠下。~
@83802  = ~如果是那样，你应该让自己摆脱那条破布斗篷——它有坟墓的臭味。另外，你会想开始戴面具。你是个动人的女人，赫克塞特。这无法逃避。~
@83803  = ~在墓里。~
@83804  = ~两者之一。~
@83805  = ~等我准备好就走。别再烦我。~
@83806  = ~两者都是。~
@83807  = ~停止装可爱，回答问题。~
@83808  = ~我指的不是那种注意。等你准备好就到墓园区告诉我。~ [OH83808]
@83809  = ~呃，这是片沙漠而坟墓很古老。在扎卡拉，沙漠最终吞没一切。~ [OH83809]
@83810  = ~我等我们去做同意做的事就停下。等你准备好就到墓园区告诉我。~ [OH83810]
@83811  = ~至于裹尸布的历史呢？~
@83812  = ~谢谢你，卡宾娜。你帮的正好是倒忙。~
@83813  = ~有道理。~
@83814  = ~至于裹尸布怎么到坟墓里，呃……~ [OH83814]
@83815  = ~这说来话长。我们肯定能找到些比谈论一条发霉旧布的起源更好的事？~ [OH83815]
@83816  = ~我们得走了。~
@83817  = ~这是正式会面。裹尸布是我们的正事。我们要么谈它，要么什么都别谈。~
@83818  = ~我宁可和你在一起的时间越少越好。~
@83819  = ~那好吧。如果你一定要知道这故事，那就这样吧。~ [OH83819]
@83820  = ~我就怕你会这么说。那好吧，如果你一定要知道这故事，那就这样吧。~ [OH83820]
@83821  = ~呃，这是片沙漠而坟墓很古老。在扎卡拉，沙漠最终吞没一切。至于裹尸布怎么到坟墓里，呃……~ [OH83821]
@83822  = ~我期望它像是条裹尸布。很不幸，L不认为要给你的命令配图解。~ [OH83822]
@83823  = ~至于它是什么——说来话长。~ [OH83823]
@83824  = ~我们得走了。~
@83825  = ~那就快说。~
@83826  = ~那就留到下次。~
@83827  = ~我就怕你会这么说。肯定有比谈论一条发霉旧布的起源更有趣的娱乐方式来打发时间？~ [OH83827]
@83828  = ~我要的是告知，不是娱乐。~
@83829  = ~这是正式会面。裹尸布是我们的正事。我们要么谈它，要么什么都别谈。~
@83830  = ~我宁可和你在一起的时间越少越好。~
@83831  = ~你最煞风景了。赫克塞特怎么能每次忍你超过一分钟，我永远不会理解。~ [OH83831]
@83832  = ~那只是你不了解我的表面，卡宾娜。告诉我们未验先知的裹尸布的事。~ [OH83832]
@83833  = ~很久以前，在札卡拉沙漠，四个属于哈尔瓦哈里发国的哈基玛女巫预言了一位先知的诞生，他将带领他们的人民走向伟大时代。~ [OH83833]
@83834  = ~哈基玛？~
@83835  = ~这还要更久吗？~
@83836  = ~我听够了。~
@83837  = ~明智的女人。~ [OH83837]
@83838  = ~美丽而聪明。你是理想的包裹，赫克塞特。或许有朝一日我会解开你。~ [OH83838]
@83839  = ~你绝不灰心，卡宾娜。继续讲故事。~ [OH83839]
@83840  = ~我讲过这说来话长，<CHARNAME>。没有你打岔会更快。~ [OH83840]
@83841  = ~对不起，请继续。~
@83842  = ~你说过这很长。你从没提到它还无聊。~
@83843  = ~如果我现在离开，它就最快。~
@83844  = ~你在试图迷惑我。这不会有用。~
@83845  = ~你到底要不要我讲故事？~ [OH83845]
@83846  = ~那么，继续吧。~
@83847  = ~你想讲就讲吧，但不是对我。~
@83848  = ~我要谢谢你不再打岔。我说到哪了？~ [OH83848]
@83849  = ~四个明智的女人预言一位先知的诞生。~ [OH83849]
@83850  = ~好吧，好吧。~ [OH83850]
@83851  = ~哈基玛女巫确认这个幸运儿的未来母亲是巴迪埃特，一个甚至不知道她丈夫穆哈尔已经让她怀孕的女人。他刚刚奉哈里发命令去与海盗战斗。当他一去不回时，巴迪埃特接受哈基玛女巫的邀请，在他们的哈里发保护下生活。~ [OH83851]
@83852  = ~我不能为此怪罪她。她必须保证孩子的安全。~
@83853  = ~我不喜欢这个巴迪埃特。她在该主动的地方被动，在需要力量时软弱。~
@83854  = ~宣称她这么做是为了孩子，毫无疑问。~
@83855  = ~可能。如果是的，她犯了个可怕的错误。~ [OH83855]
@83856  = ~别对她这么苛求。我们只知道她最表面的状况。继续，卡宾娜。~ [OH83856]
@83857  = ~但她有吗？~ [OH83857]
@83858  = ~让我说完故事，你就会了解。~ [OH83858]
@83859  = ~巴迪埃特以她编织美丽斗篷和长袍的天赋惊艳哈里发。他把巴迪埃特收入后宫，供给她最好的丝绸。哈里发的第一夫人对巴迪埃特心生嫉妒。~ [OH83859]
@83860  = ~她和第四个哈基玛结盟，策划毒杀巴迪埃特。她们的阴谋成功了。母亲和孩子都被杀死，让未出生的孩子成了“未验先知”。~ [OH83860]
@83861  = ~一个严酷的故事，不过我担心还没有我们面前的任务严酷。~
@83862  = ~这正好让你知道，永远别相信你丈夫的其他妻子。~
@83863  = ~所以L要我们偷一个婴儿的裹尸布。还是一个未出生婴儿的。~
@83864  = ~你不应该忽视这样的悲剧，<CHARNAME>。~ [OH83864]
@83865  = ~你什么时候开始同情你的目标了，赫克塞特？我怎么没发现。~
@83866  = ~有时你只需要笑。~
@83867  = ~巴迪埃特为软弱和轻率付出代价。有比那更悲剧的事。~
@83868  = ~有时候，是的。但不是这次。~ [OH83868]
@83869  = ~她是个母亲，努力保护未出生的孩子。~ [OH83869]
@83870  = ~和任何母亲一样。~
@83871  = ~巴迪埃特作古了，我们有活要干。~
@83872  = ~而她做得很糟。~
@83873  = ~你也许是不死生物，赫克塞特，但你和它们相比流的是热血。~ [OH83873]
@83874  = ~不。没有任何母亲。~ [OH83874]
@83875  = ~啊哈。剧情复杂了。~ [OH83875]
@83876  = ~……当然，你是对的。~ [OH83876]
@83877  = ~谢谢你的信息，卡宾娜。你可以告诉L信收到了，我很快会把裹尸布送去。~ [OH83877]
@83878  = ~别了，赫克塞特，我是认真的。我不想失去你。~ [OH83878]
@83879  = ~你不能失去你从没拥有的东西。晚安。~ [OH83879]
@83880  = ~或许她只对这个特别的目标有感觉。~ [OH83880]
@83881  = ~你不知道你在说什么，卡宾娜。你可怜的一生就安静一次吧。~ [OH83881]
@83882  = ~所以巴迪埃特的故事没什么让你犹豫的？~
@83883  = ~赫克塞特……你想要孩子吗？~
@83884  = ~L的消息收到了，卡宾娜。你可以走了。~
@83885  = ~如果我选择留下呢？~ [OH83885]
@83886  = ~不论你在这里曾受过什么欢迎，都早就过时了。~
@83887  = ~那我就不得不做些不愉快的事了。~
@83888  = ~那我们该走了。~
@83889  = ~他们是对的，卡宾娜。你是时候离开了。~ [OH83889]
@83890  = ~永别了，赫克塞特。我是真心的。~ [OH83890]
@83891  = ~孩子是属于生者的。你忘了我是什么吗，<CHARNAME>？~ [OH83891]
@83892  = ~我很清楚你是什么。但你渴望什么？~
@83893  = ~你在是个吸血鬼前是个女人。~
@83894  = ~我永远忘不了。我每看你一眼，都会提醒与我同行的是多么伟大的存在。~
@83895  = ~我的愿望无关紧要。手头的任务才是一切。~ [OH83895]
@83896  = ~我曾经是什么无关紧要。~ [OH83896]
@83897  = ~那不是真的。~
@83898  = ~你试图埋葬你的人性，因为你认为它削弱你。~
@83899  = ~你是对的。你超越了人性，达到了崇高的地位。让过去的过去吧——只面向你的光辉未来。~
@83900  = ~是这样。~ [OH83900]
@83901  = ~我埋葬了我的人性，因为对死物就要那么做。~ [OH83901]
@83902  = ~从你眼中，我能看到我自己。~ [OH83902]
@83903  = ~无疑你的油嘴滑舌对其他女人很灵，<CHARNAME>。但肤浅的诱惑和空洞的恭维对我行不通。~ [OH83903]
@83904  = ~如果L要的是裹尸布，那他会得到它。~ [OH83904]
@83905  = ~你对这个任务没有保留？~
@83906  = ~我们都这么说。主要因为那些不这么说的最终会陷入漫长而毫无意义的争吵。~
@83907  = ~L只需要照头一顿痛打。或许有朝一日我有机会把它们送给他。~
@83908  = ~不比别人更多。~ [OH83908]
@83909  = ~一个停顿……不。没什么。~ [OH83909]
@83910  = ~有朝一日，或许吧。但不是近期，我向你保证。~ [OH83910]
@83911  = ~我假设你有德拉戈米尔的头盔？让我看看。~ [OH83911]
@83912  = ~你在做什么？~ [OH83912]
@83913  = ~忍耐它是L的需要，仅此而已。~ [OH83913]
@83914  = ~还有一点……~ [OH83914]
@83915  = ~那太不公平。~
@83916  = ~切断退路毫无意义。如果赫克塞特的希望破灭，为什么不给她走墓道的机会？她可以撤退，恢复，重组——回去带需要的一切来解决问题。~
@83917  = ~我们没理由离开，直到完成任务。~
@83918  = ~公平？嗯，你不是最可爱的家伙吗……？~ [OH83918]
@83919  = ~我想告诉你小心，赫克塞特，但我知道你一向都是。~ [OH83919]
@83920  = ~那说得通，不是吗？我会和L谈，再告诉你。~ [OH83920]
@83921  = ~你知道她不会和L谈任何事，对吧？~ [OH83921]
@83922  = ~<CHARNAME>，你打算什么时候回墓园区？我们在翔龙有事要办。~ [OH83922]
@83923  = ~而我拖延太久了。我们现在解决它。~
@83924  = ~而我们会找到它，我向你保证。耐心点。~
@83925  = ~你也许是。我不是。~
@83926  = ~我以为我们说好合作的。~ [OH83926]
@83927  = ~你是对的，当然。我们把这事结了。~
@83928  = ~耐心，赫克塞特。我们最终会找到德肯。~
@83929  = ~如果你不满我的行事方式，只管离开。~
@83930  = ~我有无限的耐心。我担心的是L的耐心。~ [OH83930]
@83931  = ~我会留下——暂时。但我要去翔龙。而且很快。~ [OH83931]
@83932  = ~德拉戈米尔的头盔会让我们从墓道进入翔龙。~ [OH83932]
@83933  = ~看来你不急着用头盔。~
@83934  = ~你的意思是，它会把我们带进坟墓。实在不是我急着体验的翔龙风情。~
@83935  = ~并把我们困在那里，直到我们得到黑豹之爪。~
@83936  = ~我们有工作要做。~ [OH83936]
@83937  = ~那么，我们完成它。~
@83938  = ~好极了。我们去搜那死鬼的家。~
@83939  = ~你有工作要做。我会帮你……等我准备好。~
@83940  = ~上次我不太顺利。~ [OH83940]
@83941  = ~好吧。我们走。~
@83942  = ~我们会的，赫克塞特。但不是现在。~
@83943  = ~我不急着探索另一座墓。~
@83944  = ~你的下次死亡就是最后一次，南功极。~
@83945  = ~是谁来到未验先知的墓？~ [OH83945]
@83946  = ~无所谓。他们的命运已经写下。~ [OH83946]
@83947  = ~我是<CHARNAME>。我来这里找未验先知的裹尸布。~
@83948  = ~写下的可以重写。世事无绝对。~
@83949  = ~我书写自己的命运，女巫。~
@83950  = ~你们的故事到此为止！~ [OH83950]
@83951  = ~他们是对的。未验先知的命运足够证实这点。~ [OH83951]
@83952  = ~我是<CHARNAME>。你们是谁？你们为什么停留在这亡者之地？~
@83953  = ~说到未验先知，你们知道我能在哪找到他的尸骨？我需要拿到他的裹尸布。~
@83954  = ~告诉我未验先知在哪，我就让你们站你们的岗。~
@83955  = ~该死的，<CHARNAME>。你就和一头醉巨魔一样精细。~ [OH83955]
@83956  = ~是的，但我闻起来更好。~
@83957  = ~精细是高估了。~
@83958  = ~精细是属于那些弱势者的。~
@83959  = ~好吧，你抓到我的空子了。~ [OH83959]
@83960  = ~我会把你们的骨头碾成灰！~ [OH83960]
@83961  = ~你为什么到这个亡者之地？~ [OH83961]
@83962  = ~我来这里拿未验先知的裹尸布。~
@83963  = ~为最高贵的理由：爱情。~
@83964  = ~在和所有挡我者的战斗中证明我自己。顺便，你在挡我路。~
@83965  = ~什么？！~ [OH83965]
@83966  = ~我爱冒险。~
@83967  = ~我爱宝藏。~
@83968  = ~我爱墓地。不然我为什么一直和你探访它们？~
@83969  = ~我喜欢你措手不及时的表情，赫克塞特。~
@83970  = ~很好笑。~ [OH83970]
@83971  = ~我想是的。现在我们拿走未验先知的裹尸布，离开这里。~
@83972  = ~然而你甚至对我一点笑意都没有。~
@83973  = ~我很高兴你这么想。现在我们言归正传。~
@83974  = ~我们在找未验先知的裹尸布。它在哪？~ [OH83974]
@83975  = ~有些人发现我的笑容……让人不安。现在我们言归正传。~ [OH83975]
@83976  = ~哈尔瓦的魔鬼哈里发把我们的灵魂困在这里。~ [OH83976]
@83977  = ~我们的惩罚是公正的。~ [OH83977]
@83978  = ~这残忍而无谓。~ [OH83978]
@83979  = ~你们为什么受罚？~
@83980  = ~我很遗憾听到这个，但我要是还听更多会更遗憾。~
@83981  = ~我对这没兴趣。未验先知的裹尸布在哪？~
@83982  = ~徒劳！~ [OH83982]
@83983  = ~哈里发的背叛确实造成一个黑暗的故事。~ [OH83983]
@83984  = ~是拉菲亚的背叛，不是哈里发的。是她杀了先知的母亲。~ [OH83984]
@83985  = ~拉菲亚？谁？~
@83986  = ~啊，朋友间的小背叛是什么？~
@83987  = ~不管什么背叛都是几百年前发生的。现在要紧的只有未验先知的裹尸布。~
@83988  = ~因为我们没能从拉菲亚的背叛中救下先知和他的母亲。~ [OH83988]
@83989  = ~拉菲亚？那是谁？~
@83990  = ~嗯，我确信那有个非常有趣而详尽的故事要讲，但我宁可跳到我们在哪里拿走未验先知的裹尸布，离开这鬼地方的部分。~
@83991  = ~你们的任何失败一定发生在几百年前。是时候放下。~
@83992  = ~他们是对的。我们的苦难毫无正义。~ [OH83992]
@83993  = ~我们之一协助谋杀巴迪埃特。其余人没能阻止它。为此，我们必须付出代价。~ [OH83993]
@83994  = ~你说是就是吧。与此同时，如果你可以指引我找到未验先知的裹尸布，我将感激不尽。~
@83995  = ~让我无聊的代价是毁灭。~
@83996  = ~确实。我们应该尝试去保护先知。但这也和把他丢进了蛇穴没有什么差别。~ [OH83996]
@83997  = ~几世纪前，我们四人预知一位伟大先知将把我们民族带向繁荣。~ [OH83997]
@83998  = ~她丈夫死后，我们为哈里发安排把先知未来的母亲，巴迪埃特，带到他的保护下。~ [OH83998]
@83999  = ~哈！哈里发对巴迪埃特的兴趣和保护无关。尽管她怀着另一个人的孩子，那好色的鳗鲡还是把她收入后宫。~ [OH83999]
@84000  = ~巴迪埃特以她编织美丽斗篷和长袍的天赋打动哈里发。他命令他的商人为她买来最好的丝线。~ [OH84000]
@84001  = ~他试图讨好未验先知的母亲。这么一来，他对其他妻子极为不公。~ [OH84001]
@84002  = ~哈里发的第一夫人，拉菲亚，原本掌管后宫的所有编织工作。~ [OH84002]
@84003  = ~巴迪埃特利用她未出生儿子的未来力量谋取拉菲亚的正当地位。~ [OH84003]
@84004  = ~巴迪埃特在哈里发的后宫得到一席之地。~ [OH84004]
@84005  = ~她得到拉菲亚的嫉妒并付出代价。~ [OH84005]
@84006  = ~拉菲亚策划毒杀巴迪埃特——在我们之一的帮助下。~ [OH84006]
@84007  = ~太迟了，我们得知拉菲亚的计划。我们赶去警告哈里发，但巴迪埃特已死。~ [OH84007]
@84008  = ~以及她怀着的未验先知。~ [OH84008]
@84009  = ~未验先知。~ [OH84009]
@84010  = ~哈里发被愤怒蒙蔽，把我们埋在这里。~ [OH84010]
@84011  = ~我们守卫未验先知的尸骨和那些从未有机会被拯救的。~ [OH84011]
@84012  = ~你们是守卫，呵？那么，你们大概会阻止我们得到未验先知的裹尸布……~
@84013  = ~那有点极端，你们不觉得吗？你们中只有一人帮助谋杀巴迪埃特。为什么把你们四个都处死？~
@84014  = ~欢喜吧，鬼魂。你们的奴役要结束了。~
@84015  = ~哈里发是个心胸狭窄的人。~ [OH84015]
@84016  = ~是一人的背叛杀了先知，但失败属于我们全体。我们本应救他。~ [OH84016]
@84017  = ~我们尽力而为。这对哈里发不够。他一失去珍贵的巴迪埃特，我们就完了。~ [OH84017]
@84018  = ~一个悲伤的故事，我真心为你们的不幸遗憾。~
@84019  = ~哈里发听起来有点混蛋。~
@84020  = ~你们讲故事和保护死者的日子结束了，阴魂。我给你们带来最终、持久的安宁。~
@84021  = ~学者之钥~
@84022  = ~把你的悲伤留给未验先知和巴迪埃特。~ [OH84022]
@84023  = ~是的，僭越者和未验先知是这里仅有的值得同情的人。不要考虑弱者，拒绝拉菲亚，或我们四个被不公惩罚的真相守卫者。~ [OH84023]
@84024  = ~我的心胸足以为你们所有人感到同情。~
@84025  = ~好吧。我们需要未验先知的裹尸布。你能把它给我们吗？~
@84026  = ~这把钥匙用于开启通往南功极陵墓内的学者墓穴的门。

数据资料：

重量：0~
@84027  = ~有些人不值得可怜。~ [OH84027]
@84028  = ~嗯，我也很同情你们。但容我们告退，我们现在必须前往墓穴深处。~
@84029  = ~不知为何，我就是没法让自己研究几百年前发生的事。我猜，这是没成为被关起来守墓几百年的鬼魂的乐趣之一。~
@84030  = ~那你从我这什么也得不到。~
@84031  = ~去吧，享受它。拿走你想要的，毁掉你不要的。我们无法亲手复仇，但你能给哈里发和未验先知的记忆一击。~ [OH84031]
@84032  = ~他一路攫取权力，并为了保有它无所不为。他娶巴迪埃特只为利用她未出生的孩子。~ [OH84032]
@84033  = ~哈里发是个性情中人。这些情感被公正和智慧调和。~ [OH84033]
@84034  = ~我的姐妹们的忠诚使她们看不到真相。无视她们。~ [OH84034]
@84035  = ~好吧。我找未验先知的裹尸布。我在哪能找到它？~
@84036  = ~在过了这么久后，我有点认为真相对哈里发无关紧要。~
@84037  = ~我想我会无视你们四个。~
@84038  = ~你要从未验先知身上偷窃？~ [OH84038]
@84039  = ~那会是个问题吗？~
@84040  = ~偷窃太难听了。我更喜欢认为这是永久借用。~
@84041  = ~我们要从一个从没出过一口气的孩子的尸骨上拿走一块布。我看没有坏处。~
@84042  = ~他们说得对。到那去，穿过网。你会发现你寻找的一切。~ [OH84042]
@84043  = ~我感谢你的引导。~
@84044  = ~我不确定我相信你。~
@84045  = ~别惹火我，沙漠女巫！我会砍倒你！~
@84046  = ~其他门被关上是有理由的。如果你想就打开它们，但我现在警告你这么做后果自负。~ [OH84046]
@84047  = ~你得要和拉菲亚谈这事。是她披着未验先知的裹尸布。~ [OH84047]
@84048  = ~我会照办。哪条是到未验先知最快的路？~
@84049  = ~而她现在在坟墓里？~
@84050  = ~她也被埋葬在这里？~
@84051  = ~那完全取决于你。~ [OH84051]
@84052  = ~到那去，穿过网。你会在里面找到你找的一切。~ [OH84052]
@84053  = ~我感谢你的引导。~
@84054  = ~我不确定我相信你。~
@84055  = ~或许我会，但前提是我确定我们不会被这地方的鬼魂守卫紧追在后。~
@84056  = ~你会在未验先知的墓穴找到她。~ [OH84056]
@84057  = ~谢谢你的引导。感激不尽。~
@84058  = ~我盼望结识她。~
@84059  = ~那是哪里？~
@84060  = ~鬼魂武僧~
@84061  = ~翡翠牙+3~
@84062  = ~这把匕首用一整块翡翠雕成，其刀刃足以切断毛发。它两侧都有复杂的装饰花纹，尽管它们的历史或文化意义早已被遗忘。

翡翠牙是著名翔龙盗贼牛为丹的首选武器，他用它削弱对手，最终吸干他们的生命力以加强自己。牛无数次陷入绝境，都凭这匕首逃脱。最终，击倒牛的不是敌人或复仇的被害者，而是年老。这匕首被作为传家宝在他的家族中流传，从那之后没被作为武器使用。

数据资料：

战斗能力：
-每击有5%概率震慑目标10秒
-每次成功命中治疗持有者1点生命值

零级命中值：+3
伤害：1d4+3（穿刺）
使用速度：0
武器特长类别：匕首
使用类别：单手
需求：
力量3

重量：1~
@84063  = ~这只麻雀的双翼被束缚。我想知道，他会坠落多远？~
@84064  = ~嘿，<CHARNAME>。把我弄出去。好吗？~
@84065  = ~我不会被粘线杀死……~
